"Status","Year","Disability","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scotland","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Female","10","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","Female","10","5","[c]","[c]"
