"Status","Year","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA","Heterosexual / straight","510","460","20700","20600"
"In post","2021","Asian","AA","LGBO","20","20","[c]","[c]"
"In post","2021","Asian","AA","Undeclared","60","55","20180","20160"
"In post","2021","Asian","AA","Unknown","65","55","21150","20250"
"In post","2021","Asian","AO","Heterosexual / straight","5600","5005","22370","21160"
"In post","2021","Asian","AO","LGBO","165","145","22460","21050"
"In post","2021","Asian","AO","Undeclared","525","445","22610","21430"
"In post","2021","Asian","AO","Unknown","1060","860","22240","21010"
"In post","2021","Asian","EO","Heterosexual / straight","7970","7515","28200","27570"
"In post","2021","Asian","EO","LGBO","165","155","28390","27570"
"In post","2021","Asian","EO","Undeclared","565","510","28370","28550"
"In post","2021","Asian","EO","Unknown","1105","980","28500","27570"
"In post","2021","Asian","G6","Heterosexual / straight","505","490","68510","66990"
"In post","2021","Asian","G6","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","G6","Undeclared","30","30","70370","67940"
"In post","2021","Asian","G6","Unknown","70","70","71530","67750"
"In post","2021","Asian","G7","Heterosexual / straight","2020","1970","55960","54700"
"In post","2021","Asian","G7","LGBO","60","60","56160","54700"
"In post","2021","Asian","G7","Undeclared","90","90","55430","54450"
"In post","2021","Asian","G7","Unknown","215","200","55400","54070"
"In post","2021","Asian","HEO","Heterosexual / straight","3970","3840","33940","33640"
"In post","2021","Asian","HEO","LGBO","90","85","33910","33300"
"In post","2021","Asian","HEO","Undeclared","215","205","34280","34440"
"In post","2021","Asian","HEO","Unknown","410","395","34900","35000"
"In post","2021","Asian","SCS level","Heterosexual / straight","255","245","91810","89930"
"In post","2021","Asian","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","35","35","103400","91020"
"In post","2021","Asian","SEO","Heterosexual / straight","2315","2265","41880","41150"
"In post","2021","Asian","SEO","LGBO","50","50","42920","41760"
"In post","2021","Asian","SEO","Undeclared","140","135","42490","41970"
"In post","2021","Asian","SEO","Unknown","225","220","41300","40600"
"In post","2021","Asian","Unknown","Heterosexual / straight","580","545","29940","28680"
"In post","2021","Asian","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Undeclared","20","15","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Black","AA","Heterosexual / straight","390","370","21730","21550"
"In post","2021","Black","AA","LGBO","10","10","[c]","[c]"
"In post","2021","Black","AA","Undeclared","25","25","[c]","[c]"
"In post","2021","Black","AA","Unknown","90","85","23320","23790"
"In post","2021","Black","AO","Heterosexual / straight","2875","2695","24390","23500"
"In post","2021","Black","AO","LGBO","70","65","23650","22680"
"In post","2021","Black","AO","Undeclared","210","185","24390","23610"
"In post","2021","Black","AO","Unknown","420","375","25290","23520"
"In post","2021","Black","EO","Heterosexual / straight","4390","4230","29060","29290"
"In post","2021","Black","EO","LGBO","130","125","29030","28770"
"In post","2021","Black","EO","Undeclared","285","265","29350","29370"
"In post","2021","Black","EO","Unknown","620","570","29970","31020"
"In post","2021","Black","G6","Heterosexual / straight","150","150","69630","68600"
"In post","2021","Black","G6","LGBO","10","10","[c]","[c]"
"In post","2021","Black","G6","Undeclared","10","10","[c]","[c]"
"In post","2021","Black","G6","Unknown","20","20","[c]","[c]"
"In post","2021","Black","G7","Heterosexual / straight","925","915","55890","54650"
"In post","2021","Black","G7","LGBO","25","25","[c]","[c]"
"In post","2021","Black","G7","Undeclared","40","40","54160","54550"
"In post","2021","Black","G7","Unknown","85","85","57050","56100"
"In post","2021","Black","HEO","Heterosexual / straight","2095","2055","34330","34300"
"In post","2021","Black","HEO","LGBO","40","40","34580","34710"
"In post","2021","Black","HEO","Undeclared","115","110","34750","35050"
"In post","2021","Black","HEO","Unknown","195","185","35370","36160"
"In post","2021","Black","SCS level","Heterosexual / straight","75","75","92960","86320"
"In post","2021","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Black","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Black","SEO","Heterosexual / straight","1280","1265","42170","41760"
"In post","2021","Black","SEO","LGBO","30","30","43060","41970"
"In post","2021","Black","SEO","Undeclared","60","60","42900","42200"
"In post","2021","Black","SEO","Unknown","85","85","41700","40940"
"In post","2021","Black","Unknown","Heterosexual / straight","760","735","30930","28200"
"In post","2021","Black","Unknown","LGBO","15","10","[c]","[c]"
"In post","2021","Black","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Chinese","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chinese","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA","Undeclared","5","5","[c]","[c]"
"In post","2021","Chinese","AA","Unknown","5","5","[c]","[c]"
"In post","2021","Chinese","AO","Heterosexual / straight","180","170","22330","21430"
"In post","2021","Chinese","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Chinese","AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Chinese","AO","Unknown","25","20","[c]","[c]"
"In post","2021","Chinese","EO","Heterosexual / straight","235","225","27810","27570"
"In post","2021","Chinese","EO","LGBO","20","15","[c]","[c]"
"In post","2021","Chinese","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Chinese","EO","Unknown","30","25","[c]","[c]"
"In post","2021","Chinese","G6","Heterosexual / straight","45","45","68650","67440"
"In post","2021","Chinese","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6","Unknown","10","10","[c]","[c]"
"In post","2021","Chinese","G7","Heterosexual / straight","145","145","55520","54650"
"In post","2021","Chinese","G7","LGBO","10","10","[c]","[c]"
"In post","2021","Chinese","G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Chinese","G7","Unknown","25","25","[c]","[c]"
"In post","2021","Chinese","HEO","Heterosexual / straight","165","165","34290","33930"
"In post","2021","Chinese","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Chinese","HEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Chinese","HEO","Unknown","25","20","[c]","[c]"
"In post","2021","Chinese","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chinese","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Chinese","SEO","Heterosexual / straight","120","115","42000","41670"
"In post","2021","Chinese","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Chinese","SEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Chinese","SEO","Unknown","20","20","[c]","[c]"
"In post","2021","Chinese","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA","Heterosexual / straight","125","115","20360","20600"
"In post","2021","Mixed","AA","LGBO","10","10","[c]","[c]"
"In post","2021","Mixed","AA","Undeclared","10","10","[c]","[c]"
"In post","2021","Mixed","AA","Unknown","20","15","[c]","[c]"
"In post","2021","Mixed","AO","Heterosexual / straight","1340","1240","23360","21440"
"In post","2021","Mixed","AO","LGBO","135","130","23330","21430"
"In post","2021","Mixed","AO","Undeclared","125","110","23430","21440"
"In post","2021","Mixed","AO","Unknown","165","140","23170","21010"
"In post","2021","Mixed","EO","Heterosexual / straight","1700","1615","28110","27570"
"In post","2021","Mixed","EO","LGBO","185","180","28000","27570"
"In post","2021","Mixed","EO","Undeclared","185","170","28040","27570"
"In post","2021","Mixed","EO","Unknown","140","125","28420","27570"
"In post","2021","Mixed","G6","Heterosexual / straight","215","210","68510","66870"
"In post","2021","Mixed","G6","LGBO","20","20","[c]","[c]"
"In post","2021","Mixed","G6","Undeclared","20","20","[c]","[c]"
"In post","2021","Mixed","G6","Unknown","30","25","68540","66590"
"In post","2021","Mixed","G7","Heterosexual / straight","785","755","55470","54540"
"In post","2021","Mixed","G7","LGBO","105","100","55050","54540"
"In post","2021","Mixed","G7","Undeclared","55","50","54770","53380"
"In post","2021","Mixed","G7","Unknown","70","70","55060","54470"
"In post","2021","Mixed","HEO","Heterosexual / straight","1105","1080","33820","33510"
"In post","2021","Mixed","HEO","LGBO","125","120","33570","33150"
"In post","2021","Mixed","HEO","Undeclared","105","100","34010","33300"
"In post","2021","Mixed","HEO","Unknown","100","95","34120","33860"
"In post","2021","Mixed","SCS level","Heterosexual / straight","110","110","82480","77840"
"In post","2021","Mixed","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Mixed","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Mixed","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Mixed","SEO","Heterosexual / straight","675","655","41740","40830"
"In post","2021","Mixed","SEO","LGBO","80","80","41250","40600"
"In post","2021","Mixed","SEO","Undeclared","45","45","42900","40820"
"In post","2021","Mixed","SEO","Unknown","70","70","40660","39750"
"In post","2021","Mixed","Unknown","Heterosexual / straight","330","310","30590","30210"
"In post","2021","Mixed","Unknown","LGBO","25","20","[c]","[c]"
"In post","2021","Mixed","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Other ethnicity","AA","Heterosexual / straight","45","40","20550","19560"
"In post","2021","Other ethnicity","AA","LGBO","5","5","[c]","[c]"
"In post","2021","Other ethnicity","AA","Undeclared","10","10","[c]","[c]"
"In post","2021","Other ethnicity","AA","Unknown","10","10","[c]","[c]"
"In post","2021","Other ethnicity","AO","Heterosexual / straight","355","325","23640","21780"
"In post","2021","Other ethnicity","AO","LGBO","30","30","25460","23810"
"In post","2021","Other ethnicity","AO","Undeclared","40","40","24430","22490"
"In post","2021","Other ethnicity","AO","Unknown","70","60","24260","22520"
"In post","2021","Other ethnicity","EO","Heterosexual / straight","525","500","28420","27650"
"In post","2021","Other ethnicity","EO","LGBO","50","45","28640","27570"
"In post","2021","Other ethnicity","EO","Undeclared","75","70","28700","28670"
"In post","2021","Other ethnicity","EO","Unknown","85","75","28380","27570"
"In post","2021","Other ethnicity","G6","Heterosexual / straight","70","70","68860","66650"
"In post","2021","Other ethnicity","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","G6","Undeclared","30","30","69980","68090"
"In post","2021","Other ethnicity","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Other ethnicity","G7","Heterosexual / straight","215","205","56410","54700"
"In post","2021","Other ethnicity","G7","LGBO","30","25","[c]","[c]"
"In post","2021","Other ethnicity","G7","Undeclared","40","40","54580","53770"
"In post","2021","Other ethnicity","G7","Unknown","35","35","55770","55060"
"In post","2021","Other ethnicity","HEO","Heterosexual / straight","315","305","34190","34280"
"In post","2021","Other ethnicity","HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Other ethnicity","HEO","Undeclared","40","40","35220","35000"
"In post","2021","Other ethnicity","HEO","Unknown","30","30","35960","36360"
"In post","2021","Other ethnicity","SCS level","Heterosexual / straight","35","35","91050","85380"
"In post","2021","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2021","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","SEO","Heterosexual / straight","200","195","43220","41380"
"In post","2021","Other ethnicity","SEO","LGBO","25","25","[c]","[c]"
"In post","2021","Other ethnicity","SEO","Undeclared","40","40","42970","41490"
"In post","2021","Other ethnicity","SEO","Unknown","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Heterosexual / straight","60","60","30190","31260"
"In post","2021","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA","Heterosexual / straight","85","80","19730","19560"
"In post","2021","Undeclared","AA","LGBO","10","10","[c]","[c]"
"In post","2021","Undeclared","AA","Undeclared","290","265","19410","19560"
"In post","2021","Undeclared","AA","Unknown","65","55","20540","20230"
"In post","2021","Undeclared","AO","Heterosexual / straight","735","670","23200","21590"
"In post","2021","Undeclared","AO","LGBO","85","80","24320","21590"
"In post","2021","Undeclared","AO","Undeclared","2615","2395","23160","21430"
"In post","2021","Undeclared","AO","Unknown","1140","945","21840","21010"
"In post","2021","Undeclared","EO","Heterosexual / straight","940","875","28670","27570"
"In post","2021","Undeclared","EO","LGBO","85","80","28540","27570"
"In post","2021","Undeclared","EO","Undeclared","3435","3190","28010","27570"
"In post","2021","Undeclared","EO","Unknown","1405","1235","28650","27570"
"In post","2021","Undeclared","G6","Heterosexual / straight","85","85","69250","67750"
"In post","2021","Undeclared","G6","LGBO","15","15","[c]","[c]"
"In post","2021","Undeclared","G6","Undeclared","490","470","68930","68000"
"In post","2021","Undeclared","G6","Unknown","115","110","68210","66440"
"In post","2021","Undeclared","G7","Heterosexual / straight","230","225","56320","55160"
"In post","2021","Undeclared","G7","LGBO","25","25","[c]","[c]"
"In post","2021","Undeclared","G7","Undeclared","1480","1440","55640","54700"
"In post","2021","Undeclared","G7","Unknown","395","380","53420","52610"
"In post","2021","Undeclared","HEO","Heterosexual / straight","435","420","34360","33900"
"In post","2021","Undeclared","HEO","LGBO","40","40","33670","33120"
"In post","2021","Undeclared","HEO","Undeclared","2475","2380","34070","33300"
"In post","2021","Undeclared","HEO","Unknown","550","515","34050","33490"
"In post","2021","Undeclared","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS level","Undeclared","125","120","89210","82100"
"In post","2021","Undeclared","SCS level","Unknown","40","35","97090","95460"
"In post","2021","Undeclared","SEO","Heterosexual / straight","255","250","41920","41250"
"In post","2021","Undeclared","SEO","LGBO","15","15","[c]","[c]"
"In post","2021","Undeclared","SEO","Undeclared","1885","1815","42100","41140"
"In post","2021","Undeclared","SEO","Unknown","430","410","40350","39460"
"In post","2021","Undeclared","Unknown","Heterosexual / straight","90","85","31410","30210"
"In post","2021","Undeclared","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Undeclared","Unknown","Undeclared","430","410","36090","34440"
"In post","2021","Undeclared","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","AA","Heterosexual / straight","180","155","20150","20600"
"In post","2021","Unknown","AA","LGBO","10","5","[c]","[c]"
"In post","2021","Unknown","AA","Undeclared","365","310","20190","20070"
"In post","2021","Unknown","AA","Unknown","2820","2595","20070","20070"
"In post","2021","Unknown","AO","Heterosexual / straight","995","885","23810","21590"
"In post","2021","Unknown","AO","LGBO","60","55","23740","21440"
"In post","2021","Unknown","AO","Undeclared","950","850","22940","22820"
"In post","2021","Unknown","AO","Unknown","18305","17020","22430","21010"
"In post","2021","Unknown","EO","Heterosexual / straight","735","690","27970","27570"
"In post","2021","Unknown","EO","LGBO","50","50","28640","27660"
"In post","2021","Unknown","EO","Undeclared","735","685","28470","29350"
"In post","2021","Unknown","EO","Unknown","13215","12645","27520","27420"
"In post","2021","Unknown","G6","Heterosexual / straight","95","90","69750","68050"
"In post","2021","Unknown","G6","LGBO","5","5","[c]","[c]"
"In post","2021","Unknown","G6","Undeclared","65","65","68520","66670"
"In post","2021","Unknown","G6","Unknown","1940","1875","69090","66450"
"In post","2021","Unknown","G7","Heterosexual / straight","320","300","55210","54280"
"In post","2021","Unknown","G7","LGBO","35","30","56030","55490"
"In post","2021","Unknown","G7","Undeclared","190","180","55440","54640"
"In post","2021","Unknown","G7","Unknown","5285","5140","54920","53870"
"In post","2021","Unknown","HEO","Heterosexual / straight","450","425","33350","32690"
"In post","2021","Unknown","HEO","LGBO","35","35","32850","32790"
"In post","2021","Unknown","HEO","Undeclared","425","400","33750","34320"
"In post","2021","Unknown","HEO","Unknown","10040","9800","32860","32000"
"In post","2021","Unknown","SCS level","Heterosexual / straight","50","50","93180","92350"
"In post","2021","Unknown","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Unknown","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Unknown","SCS level","Unknown","1090","1065","90620","79410"
"In post","2021","Unknown","SEO","Heterosexual / straight","310","295","42260","40580"
"In post","2021","Unknown","SEO","LGBO","20","20","[c]","[c]"
"In post","2021","Unknown","SEO","Undeclared","270","255","43440","44920"
"In post","2021","Unknown","SEO","Unknown","4905","4750","41000","40450"
"In post","2021","Unknown","Unknown","Heterosexual / straight","120","110","31610","32690"
"In post","2021","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","60","55","33300","32700"
"In post","2021","Unknown","Unknown","Unknown","2920","2815","34180","32700"
"In post","2021","White","AA","Heterosexual / straight","10545","9625","19740","19560"
"In post","2021","White","AA","LGBO","565","545","20120","20310"
"In post","2021","White","AA","Undeclared","1210","1015","19300","18760"
"In post","2021","White","AA","Unknown","1520","1290","20840","20600"
"In post","2021","White","AO","Heterosexual / straight","62180","56050","22820","21430"
"In post","2021","White","AO","LGBO","3730","3580","23110","21400"
"In post","2021","White","AO","Undeclared","6220","5440","22870","21430"
"In post","2021","White","AO","Unknown","11145","9290","23230","21130"
"In post","2021","White","EO","Heterosexual / straight","68765","63580","27510","27570"
"In post","2021","White","EO","LGBO","4290","4155","27510","27570"
"In post","2021","White","EO","Undeclared","6635","6000","27770","27570"
"In post","2021","White","EO","Unknown","10115","8850","27980","27570"
"In post","2021","White","G6","Heterosexual / straight","9885","9525","68500","66900"
"In post","2021","White","G6","LGBO","650","640","67980","66440"
"In post","2021","White","G6","Undeclared","785","745","69720","67970"
"In post","2021","White","G6","Unknown","1130","1070","68590","66600"
"In post","2021","White","G7","Heterosexual / straight","26290","25305","55210","54230"
"In post","2021","White","G7","LGBO","1775","1740","55230","54190"
"In post","2021","White","G7","Undeclared","1975","1905","56190","54700"
"In post","2021","White","G7","Unknown","2885","2710","54530","53040"
"In post","2021","White","HEO","Heterosexual / straight","42625","40720","33410","33000"
"In post","2021","White","HEO","LGBO","2865","2815","33090","32480"
"In post","2021","White","HEO","Undeclared","3585","3400","33830","33300"
"In post","2021","White","HEO","Unknown","4470","4190","33950","33180"
"In post","2021","White","SCS level","Heterosexual / straight","4350","4205","90260","82470"
"In post","2021","White","SCS level","LGBO","300","295","87190","78810"
"In post","2021","White","SCS level","Undeclared","305","285","89660","82120"
"In post","2021","White","SCS level","Unknown","370","355","96180","86640"
"In post","2021","White","SEO","Heterosexual / straight","30720","29480","41720","40580"
