"Status","Year","Disability","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Female","45","40","44600","40480"
"In post","2021","Declared disabled","Commercial","London","Male","35","35","44240","42180"
"In post","2021","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Female","35","30","38440","36980"
"In post","2021","Declared disabled","Commercial","North West (England)","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","Female","35","30","35850","34800"
"In post","2021","Declared disabled","Commercial","South East (England)","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","Female","100","95","37950","35230"
"In post","2021","Declared disabled","Commercial","South West (England)","Male","65","65","42850","41030"
"In post","2021","Declared disabled","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Female","30","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Female","55","55","44200","40640"
"In post","2021","Declared disabled","Communications","London","Male","40","40","42610","39300"
"In post","2021","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","Female","[c]","[c]","[c]","[c]"
