"Status","Year","Age","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Female","15","10","[c]","[c]"
"In post","2021","16-19","Asian","No function","Male","10","10","[c]","[c]"
"In post","2021","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
