"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Heterosexual / straight","45","40","27360","27600"
"In post","2021","Declared disabled","Analysis","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6","Heterosexual / straight","35","30","69230","66780"
"In post","2021","Declared disabled","Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G7","Heterosexual / straight","80","75","53700","53030"
"In post","2021","Declared disabled","Analysis","G7","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HEO","Heterosexual / straight","115","110","32750","32540"
"In post","2021","Declared disabled","Analysis","HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO","Heterosexual / straight","115","110","39880","38810"
"In post","2021","Declared disabled","Analysis","SEO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO","Undeclared","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Heterosexual / straight","45","40","22020","21580"
"In post","2021","Declared disabled","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Heterosexual / straight","70","65","27270","26850"
"In post","2021","Declared disabled","Commercial","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Undeclared","10","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Heterosexual / straight","45","45","56030","54700"
"In post","2021","Declared disabled","Commercial","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Heterosexual / straight","90","85","33270","33300"
"In post","2021","Declared disabled","Commercial","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","Heterosexual / straight","135","130","42970","42080"
"In post","2021","Declared disabled","Commercial","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AO","Heterosexual / straight","55","45","21240","21050"
"In post","2021","Declared disabled","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AO","Undeclared","10","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Heterosexual / straight","150","145","25720","25560"
"In post","2021","Declared disabled","Communications","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G7","Heterosexual / straight","30","30","53830","53660"
"In post","2021","Declared disabled","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HEO","Heterosexual / straight","115","110","32580","31810"
"In post","2021","Declared disabled","Communications","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO","Heterosexual / straight","55","55","41480","40540"
"In post","2021","Declared disabled","Communications","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
