"Status","Year","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","15","15","24100","22590"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","40","40","22720","21600"
"In post","2021","16-19","Cheshire","5","5","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","40","40","22040","21010"
"In post","2021","16-19","Devon","25","25","19300","19130"
"In post","2021","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","30","25","22560","21430"
"In post","2021","16-19","East Wales","70","70","20160","20140"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","95","95","21110","20930"
"In post","2021","16-19","Essex","15","15","22070","21430"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","150","150","18720","17780"
"In post","2021","16-19","Greater Manchester","45","45","21710","21010"
"In post","2021","16-19","Hampshire and Isle of Wight","30","25","19960","19720"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","10","10","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","25","25","24710","23550"
"In post","2021","16-19","Inner London - West","100","100","25670","25170"
"In post","2021","16-19","Kent","40","40","21940","21430"
"In post","2021","16-19","Lancashire","40","35","20740","21010"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","15","15","20280","20600"
"In post","2021","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","50","45","20650","20140"
"In post","2021","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","5","5","[c]","[c]"
"In post","2021","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","80","75","20990","20140"
"In post","2021","16-19","Outer London - East and North East","10","10","[c]","[c]"
