"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","Female","35","35","43370","43530"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","Male","40","40","50110","45850"
"In post","2021","Analysis","Digital, Data and Technology","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Yorkshire","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Wales","Female","45","45","33010","29540"
"In post","2021","Analysis","Economics","East Wales","Male","80","75","37850","31080"
"In post","2021","Analysis","Economics","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Economics","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Hampshire and Isle of Wight","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Inner London - East","Female","65","60","55360","55860"
"In post","2021","Analysis","Economics","Inner London - East","Male","110","105","56470","56000"
"In post","2021","Analysis","Economics","Inner London - West","Female","295","285","46070","36160"
"In post","2021","Analysis","Economics","Inner London - West","Male","595","590","46090","42020"
"In post","2021","Analysis","Economics","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
