"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","AA/AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Heterosexual / straight","45","40","27360","27600"
"In post","2021","Declared disabled","Analysis","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6/G7","Heterosexual / straight","115","105","58330","57490"
"In post","2021","Declared disabled","Analysis","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO/HEO","Heterosexual / straight","235","225","36330","37020"
"In post","2021","Declared disabled","Analysis","SEO/HEO","LGBO","45","45","35480","33190"
"In post","2021","Declared disabled","Analysis","SEO/HEO","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO/HEO","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Heterosexual / straight","45","45","22570","21580"
"In post","2021","Declared disabled","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Heterosexual / straight","70","65","27270","26850"
"In post","2021","Declared disabled","Commercial","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Undeclared","10","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Heterosexual / straight","65","60","61310","58980"
"In post","2021","Declared disabled","Commercial","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Heterosexual / straight","225","220","39110","38520"
"In post","2021","Declared disabled","Commercial","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Undeclared","35","35","37970","40520"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
