"Status","Year","Age","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA/AO","Female","275","260","21170","21010"
"In post","2021","16-19","Declared non-disabled","AA/AO","Male","210","205","20610","21010"
"In post","2021","16-19","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Female","85","85","24350","25170"
"In post","2021","16-19","Declared non-disabled","EO","Male","100","95","22720","22870"
"In post","2021","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Male","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Female","225","215","20720","20140"
"In post","2021","16-19","Unknown","AA/AO","Male","185","180","20630","20140"
"In post","2021","16-19","Unknown","EO","Female","25","25","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Male","65","65","20990","18660"
"In post","2021","16-19","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","45","45","18530","16780"
"In post","2021","20-29","Declared disabled","AA/AO","Female","840","805","21970","21010"
"In post","2021","20-29","Declared disabled","AA/AO","Male","685","675","22490","21010"
"In post","2021","20-29","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","EO","Female","960","940","27310","27570"
"In post","2021","20-29","Declared disabled","EO","Male","605","600","27030","27570"
"In post","2021","20-29","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","G6/G7","Female","160","160","54290","53380"
"In post","2021","20-29","Declared disabled","G6/G7","Male","100","100","54340","53760"
"In post","2021","20-29","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SEO/HEO","Female","770","760","34210","33300"
"In post","2021","20-29","Declared disabled","SEO/HEO","Male","555","555","34260","33510"
"In post","2021","20-29","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Female","205","200","25480","23840"
"In post","2021","20-29","Declared disabled","Unknown","Male","50","50","28020","30210"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","AA/AO","Female","8155","7820","22310","21050"
"In post","2021","20-29","Declared non-disabled","AA/AO","Male","7265","7170","23040","21430"
"In post","2021","20-29","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","EO","Female","7685","7560","27020","27500"
"In post","2021","20-29","Declared non-disabled","EO","Male","6005","5975","26850","27370"
"In post","2021","20-29","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","G6/G7","Female","1425","1420","54310","53380"
"In post","2021","20-29","Declared non-disabled","G6/G7","Male","1285","1280","54750","53600"
"In post","2021","20-29","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SCS level","Female","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SCS level","Male","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SEO/HEO","Female","6935","6885","34520","33570"
"In post","2021","20-29","Declared non-disabled","SEO/HEO","Male","5840","5825","34680","33840"
"In post","2021","20-29","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Unknown","Female","1435","1410","25940","23840"
"In post","2021","20-29","Declared non-disabled","Unknown","Male","455","450","27030","26810"
"In post","2021","20-29","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","AA/AO","Female","355","340","22280","21010"
"In post","2021","20-29","Undeclared","AA/AO","Male","405","395","23080","21310"
"In post","2021","20-29","Undeclared","EO","Female","420","410","27470","27570"
"In post","2021","20-29","Undeclared","EO","Male","365","360","27370","27570"
"In post","2021","20-29","Undeclared","G6/G7","Female","90","90","54400","53380"
"In post","2021","20-29","Undeclared","G6/G7","Male","115","115","54050","54110"
"In post","2021","20-29","Undeclared","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","SEO/HEO","Female","470","470","34710","34020"
"In post","2021","20-29","Undeclared","SEO/HEO","Male","470","465","34420","33930"
"In post","2021","20-29","Undeclared","Unknown","Female","45","45","25840","23840"
"In post","2021","20-29","Undeclared","Unknown","Male","30","30","27470","28000"
"In post","2021","20-29","Unknown","AA/AO","Female","4450","4305","21900","21010"
"In post","2021","20-29","Unknown","AA/AO","Male","4305","4240","22500","21010"
"In post","2021","20-29","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Female","2980","2940","27290","27130"
"In post","2021","20-29","Unknown","EO","Male","2585","2570","26950","26350"
"In post","2021","20-29","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","Female","600","600","54120","53380"
"In post","2021","20-29","Unknown","G6/G7","Male","575","575","54770","53380"
"In post","2021","20-29","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SCS level","Female","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","SCS level","Male","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Female","3650","3630","33310","32120"
"In post","2021","20-29","Unknown","SEO/HEO","Male","3275","3270","33740","32790"
"In post","2021","20-29","Unknown","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Female","335","325","24990","22920"
"In post","2021","20-29","Unknown","Unknown","Male","415","410","27950","28680"
"In post","2021","30-39","Declared disabled","AA/AO","Female","1145","985","21680","21010"
"In post","2021","30-39","Declared disabled","AA/AO","Male","970","945","22950","21010"
"In post","2021","30-39","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","EO","Female","1365","1245","27430","27570"
"In post","2021","30-39","Declared disabled","EO","Male","915","905","27630","27570"
"In post","2021","30-39","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","G6/G7","Female","575","550","56630","54700"
"In post","2021","30-39","Declared disabled","G6/G7","Male","475","475","56250","54650"
"In post","2021","30-39","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","SCS level","Female","25","25","[c]","[c]"
"In post","2021","30-39","Declared disabled","SCS level","Male","35","35","79110","75570"
"In post","2021","30-39","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","SEO/HEO","Female","1215","1165","35860","35060"
"In post","2021","30-39","Declared disabled","SEO/HEO","Male","930","920","36050","35310"
"In post","2021","30-39","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Female","385","360","29410","30210"
"In post","2021","30-39","Declared disabled","Unknown","Male","100","95","30430","30210"
"In post","2021","30-39","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","AA/AO","Female","9145","7635","21990","21010"
"In post","2021","30-39","Declared non-disabled","AA/AO","Male","7615","7505","23820","21590"
"In post","2021","30-39","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","EO","Female","9770","8805","27190","27570"
"In post","2021","30-39","Declared non-disabled","EO","Male","7635","7590","27470","27570"
"In post","2021","30-39","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","G6/G7","Female","5805","5520","56980","54760"
"In post","2021","30-39","Declared non-disabled","G6/G7","Male","5360","5320","57310","55490"
"In post","2021","30-39","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","SCS level","Female","380","360","78560","75160"
"In post","2021","30-39","Declared non-disabled","SCS level","Male","370","360","80240","75210"
"In post","2021","30-39","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","SEO/HEO","Female","10945","10350","36130","35380"
"In post","2021","30-39","Declared non-disabled","SEO/HEO","Male","9635","9585","36380","35900"
"In post","2021","30-39","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Unknown","Female","1870","1695","30190","30420"
"In post","2021","30-39","Declared non-disabled","Unknown","Male","705","695","33470","31950"
"In post","2021","30-39","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","AA/AO","Female","700","590","22600","21010"
"In post","2021","30-39","Undeclared","AA/AO","Male","750","735","24480","21590"
"In post","2021","30-39","Undeclared","EO","Female","735","680","27770","27570"
"In post","2021","30-39","Undeclared","EO","Male","625","620","28590","27570"
"In post","2021","30-39","Undeclared","G6/G7","Female","380","370","56930","55300"
"In post","2021","30-39","Undeclared","G6/G7","Male","455","455","56710","54730"
"In post","2021","30-39","Undeclared","SCS level","Female","25","20","[c]","[c]"
"In post","2021","30-39","Undeclared","SCS level","Male","30","30","80150","76420"
"In post","2021","30-39","Undeclared","SEO/HEO","Female","765","725","35990","35350"
"In post","2021","30-39","Undeclared","SEO/HEO","Male","815","810","37030","36710"
"In post","2021","30-39","Undeclared","Unknown","Female","100","95","30250","30210"
"In post","2021","30-39","Undeclared","Unknown","Male","55","55","35350","34100"
"In post","2021","30-39","Unknown","AA/AO","Female","2735","2395","21700","21010"
"In post","2021","30-39","Unknown","AA/AO","Male","2765","2710","23590","21430"
"In post","2021","30-39","Unknown","EO","Female","2295","2150","27770","27140"
"In post","2021","30-39","Unknown","EO","Male","2320","2305","28030","27130"
"In post","2021","30-39","Unknown","G6/G7","Female","1760","1685","56860","54700"
"In post","2021","30-39","Unknown","G6/G7","Male","1710","1700","57580","55000"
"In post","2021","30-39","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","SCS level","Female","160","155","78850","73500"
"In post","2021","30-39","Unknown","SCS level","Male","140","140","76990","72610"
"In post","2021","30-39","Unknown","SEO/HEO","Female","3020","2875","36150","35900"
"In post","2021","30-39","Unknown","SEO/HEO","Male","3000","2980","36200","35810"
"In post","2021","30-39","Unknown","SEO/HEO","Unknown","10","10","[c]","[c]"
