"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","Female","115","100","22580","21950"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","Male","55","50","22370","21950"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Female","125","110","28200","28430"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Male","55","55","28710","28430"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","Female","270","240","59400","57400"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","Male","160","155","59750","56560"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","Female","85","80","36490","36120"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","Male","45","45","36430","35020"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AA/AO","Female","45","35","22030","20920"
"In post","2021","Declared disabled","Cabinet Office","AA/AO","Male","35","35","22160","20920"
"In post","2021","Declared disabled","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","EO","Female","65","60","27280","27500"
"In post","2021","Declared disabled","Cabinet Office","EO","Male","50","50","27080","27500"
"In post","2021","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G6/G7","Female","125","120","58020","54700"
"In post","2021","Declared disabled","Cabinet Office","G6/G7","Male","110","110","58270","56340"
"In post","2021","Declared disabled","Cabinet Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SEO/HEO","Female","135","130","36550","35590"
"In post","2021","Declared disabled","Cabinet Office","SEO/HEO","Male","100","100","35740","34550"
"In post","2021","Declared disabled","Cabinet Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
