"Status","Year","Region_ITL1","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","AA/AO","490","425","21470","21010"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","EO","305","275","27480","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","G6/G7","25","25","71960","77220"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","SEO/HEO","55","50","35330","34290"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","Unknown","140","125","30130","29930"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","AA/AO","105","85","20350","20300"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","EO","205","175","27320","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","G6/G7","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","35","30","34740","34290"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","Unknown","45","45","29220","28200"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","AA/AO","420","395","24120","23240"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","EO","320","295","27800","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","G6/G7","20","20","60760","57510"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","SEO/HEO","135","130","39020","37280"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","Unknown","95","90","31560","30880"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","AA/AO","2085","1895","21190","20600"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","EO","2145","1995","26100","25860"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","G6/G7","950","915","56200","52580"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","SCS level","65","60","90540","82670"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","2535","2410","34880","32160"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","Unknown","175","155","28100","28200"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","AA/AO","345","310","24550","22850"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","370","330","27880","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","G6/G7","105","95","60820","57510"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO/HEO","295","275","38080","36480"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","Unknown","40","35","33450","37170"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","AA/AO","350","325","24130","22160"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","EO","205","190","28130","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","G6/G7","35","35","63650","59730"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO/HEO","175","165","37620","36480"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","Unknown","10","10","36100","37850"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","AA/AO","1200","1055","21120","21010"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","EO","750","685","27030","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","G6/G7","110","105","54290","52580"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","SEO/HEO","385","360","35110","33840"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","Unknown","165","150","29050","28200"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","AA/AO","960","890","23180","21580"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","EO","545","510","27620","27380"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","G6/G7","60","55","65970","60470"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","SEO/HEO","415","395","38370","37890"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Unknown","45","40","33460","33030"
