"Status","Year","Function_of_post","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","Female","65","55","64180","65470"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","Male","115","110","69210","58450"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","Female","50","50","58250","56360"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","Male","80","75","62430","57880"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - East","Male","[c]","[c]","[c]","[c]"
