"Status","Year","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Female","120","115","38000","35190"
"In post","2021","Asian","Commercial","Male","110","110","40420","38280"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Female","110","105","40290","37210"
"In post","2021","Asian","Communications","Male","65","65","38220","33830"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Female","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Male","15","15","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","25","25","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","25","25","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Female","325","320","42430","38180"
"In post","2021","Asian","Digital, Data and Technology","Male","540","535","42330","39070"
"In post","2021","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Female","70","65","46210","52360"
"In post","2021","Asian","Economics","Male","110","110","43430","36250"
"In post","2021","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Female","370","350","38240","35200"
"In post","2021","Asian","Finance","Male","380","375","41590","38060"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Female","305","290","37340","34640"
"In post","2021","Asian","Human Resources","Male","105","105","37510","33000"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Female","15","15","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Male","5","5","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Female","110","105","32960","29480"
"In post","2021","Asian","Intelligence Analysis","Male","80","80","32560","29080"
"In post","2021","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Female","35","35","43360","41350"
"In post","2021","Asian","Internal Audit","Male","40","40","49690","49750"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Female","55","55","43650","38540"
"In post","2021","Asian","International Trade","Male","50","50","42010","37160"
"In post","2021","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Female","70","65","34010","32330"
"In post","2021","Asian","Knowledge and Information Management","Male","45","45","34710","32380"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Female","565","520","48370","50520"
"In post","2021","Asian","Legal","Male","320","310","45680","46020"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Female","125","115","69750","71460"
"In post","2021","Asian","Medicine","Male","65","60","77760","78890"
"In post","2021","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Female","5725","5070","27360","25630"
"In post","2021","Asian","Operational Delivery","Male","4345","4155","28670","25630"
"In post","2021","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Female","20","20","[c]","[c]"
"In post","2021","Asian","Operational Research","Male","25","25","[c]","[c]"
"In post","2021","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Female","475","450","32940","29060"
"In post","2021","Asian","Other","Male","370","360","32740","28670"
"In post","2021","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Female","1160","1120","42580","38800"
"In post","2021","Asian","Policy","Male","760","755","43510","38650"
"In post","2021","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Female","435","425","40080","36800"
"In post","2021","Asian","Project Delivery","Male","380","375","41580","38630"
"In post","2021","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Female","110","105","35700","31660"
"In post","2021","Asian","Property","Male","135","130","37880","33750"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Female","30","30","32780","31180"
"In post","2021","Asian","Psychology","Male","5","5","[c]","[c]"
"In post","2021","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Female","295","280","36080","33090"
"In post","2021","Asian","Science and Engineering","Male","275","270","37000","35890"
"In post","2021","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Female","85","85","34410","31390"
"In post","2021","Asian","Security","Male","200","195","29020","25540"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Female","30","25","[c]","[c]"
"In post","2021","Asian","Social Research","Male","5","5","[c]","[c]"
"In post","2021","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Female","65","65","42120","38530"
"In post","2021","Asian","Statistics","Male","70","70","41690","40480"
"In post","2021","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Female","590","540","31770","31810"
"In post","2021","Asian","Tax","Male","805","775","33270","31810"
"In post","2021","Asian","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Female","4970","4310","29010","27570"
"In post","2021","Asian","Unknown","Male","3495","3400","29550","27570"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Female","120","115","36990","34900"
"In post","2021","Black","Commercial","Male","60","60","40360","38000"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Female","85","80","37710","35010"
"In post","2021","Black","Communications","Male","30","30","40350","38540"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Female","20","15","[c]","[c]"
"In post","2021","Black","Counter Fraud","Male","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Female","155","155","40320","38630"
"In post","2021","Black","Digital, Data and Technology","Male","250","245","40270","36750"
"In post","2021","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Female","25","25","[c]","[c]"
"In post","2021","Black","Economics","Male","35","35","40690","35300"
"In post","2021","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Female","230","225","38420","35200"
"In post","2021","Black","Finance","Male","140","140","41900","39980"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Female","235","230","37720","34500"
"In post","2021","Black","Human Resources","Male","50","50","38890","35900"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","Female","20","20","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","Male","5","5","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Female","35","35","35250","30840"
"In post","2021","Black","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Female","20","20","[c]","[c]"
"In post","2021","Black","Internal Audit","Male","10","10","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","Female","30","30","41830","38540"
"In post","2021","Black","International Trade","Male","20","20","[c]","[c]"
"In post","2021","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Female","40","40","33800","30650"
"In post","2021","Black","Knowledge and Information Management","Male","30","30","34860","31870"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Female","310","300","47850","50500"
"In post","2021","Black","Legal","Male","110","110","50720","51190"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","Female","40","40","60340","41330"
"In post","2021","Black","Medicine","Male","20","20","[c]","[c]"
"In post","2021","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","Female","3660","3410","28960","26810"
