"Status","Year","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA","90","75","20650","20500"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AO","455","430","26230","22920"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","595","560","29290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6","40","35","73810","73940"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G7","90","90","63520","61010"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","HEO","290","280","35730","34150"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO","295","280","56170","46600"
"In post","2021","Angus and Dundee City","Outside London","AA","155","145","21040","21150"
"In post","2021","Angus and Dundee City","Outside London","AO","950","870","21130","21010"
"In post","2021","Angus and Dundee City","Outside London","EO","490","445","27430","27570"
"In post","2021","Angus and Dundee City","Outside London","G6","25","25","70710","72160"
"In post","2021","Angus and Dundee City","Outside London","G7","45","45","56460","54350"
"In post","2021","Angus and Dundee City","Outside London","HEO","135","125","32620","32140"
"In post","2021","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","SEO","95","95","42790","40970"
"In post","2021","Antrim and Newtownabbey","Outside London","AA","115","110","19850","20310"
"In post","2021","Antrim and Newtownabbey","Outside London","AO","40","40","23090","22330"
"In post","2021","Antrim and Newtownabbey","Outside London","EO","20","20","28840","27680"
"In post","2021","Antrim and Newtownabbey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Outside London","HEO","20","20","35750","36040"
"In post","2021","Antrim and Newtownabbey","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","AA","105","105","20040","20310"
"In post","2021","Ards and North Down","Outside London","AO","65","60","23250","21880"
"In post","2021","Ards and North Down","Outside London","EO","25","25","30180","31370"
"In post","2021","Ards and North Down","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Ards and North Down","Outside London","HEO","15","15","36830","36200"
"In post","2021","Ards and North Down","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","AA","5","5","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","AO","105","95","23500","23210"
"In post","2021","Barking & Dagenham and Havering","London","EO","380","350","30980","31060"
"In post","2021","Barking & Dagenham and Havering","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","HEO","40","35","36740","36650"
"In post","2021","Barking & Dagenham and Havering","London","SEO","15","15","42500","42050"
"In post","2021","Barking & Dagenham and Havering","London","Unknown","45","45","32530","30390"
"In post","2021","Barnet","London","AA","50","40","21870","22100"
"In post","2021","Barnet","London","AO","225","200","24210","23800"
"In post","2021","Barnet","London","EO","440","410","30040","31060"
"In post","2021","Barnet","London","G6","70","65","73050","72200"
"In post","2021","Barnet","London","G7","245","235","56410","54330"
