"Status","Year","Age","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","AA/AO","15","15","17150","16990"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","15","15","24110","25170"
"In post","2021","16-19","No function","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","AA/AO","35","25","19020","18060"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","AA/AO","40","40","18900","18880"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","AA/AO","90","90","22820","22850"
"In post","2021","16-19","No function","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","AA/AO","145","140","20220","20140"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","EO","15","15","24460","24300"
"In post","2021","16-19","No function","Insolvency Service","AA/AO","10","10","20680","20880"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of the Public Guardian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","AA/AO","20","15","19900","19630"
"In post","2021","16-19","No function","Public Health England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Prison Service","AA/AO","10","10","20440","20810"
"In post","2021","16-19","No function","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","UK Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","AA/AO","10","10","18700","19130"
"In post","2021","16-19","No function","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Electronics and Components Agency","AA/AO","15","15","15880","14850"
"In post","2021","16-19","Project Delivery","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","EO","90","90","17900","17780"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Submarine Delivery Agency","Unknown","15","15","16840","16780"
"In post","2021","16-19","Property","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","FCDO Services","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Property","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","AA/AO","10","10","21400","20880"
"In post","2021","16-19","Property","Valuation Office Agency","EO","5","5","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Security","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","AA/AO","15","15","21860","19560"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","AA/AO","160","155","21230","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","EO","40","40","28290","27570"
"In post","2021","16-19","Unknown","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","AA/AO","70","65","21560","21430"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","AA/AO","10","10","19890","20920"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","National Records of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Royal Fleet Auxiliary","Unknown","35","35","18640","15940"
"In post","2021","16-19","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government (excl. agencies)","AA/AO","40","40","21060","21150"
"In post","2021","16-19","Unknown","Scottish Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Social Security Scotland","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Transport Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","20","20","20540","21050"
"In post","2021","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","25","25","24920","24920"
"In post","2021","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","20","20","30190","29270"
"In post","2021","20-29","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","G6/G7","10","10","55160","54320"
"In post","2021","20-29","Analysis","Competition and Markets Authority","SEO/HEO","20","20","34350","33610"
"In post","2021","20-29","Analysis","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","SEO/HEO","100","100","30740","28650"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","20","20","29700","27680"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","20","20","58200","57620"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","135","135","36040","34090"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","20","20","61950","59730"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","50","50","43030","42020"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","EO","15","15","28820","30000"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","G6/G7","25","25","53280","53420"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","SEO/HEO","100","100","38790","37280"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","EO","10","10","26780","26510"
"In post","2021","20-29","Analysis","Department for International Trade","G6/G7","40","40","49270","51970"
"In post","2021","20-29","Analysis","Department for International Trade","SEO/HEO","85","85","32320","31800"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","EO","30","25","29190","29970"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","G6/G7","45","45","54580","54650"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","SEO/HEO","115","110","34960","34710"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","50","50","55380","53360"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","30","30","33550","32790"
"In post","2021","20-29","Analysis","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Driver and Vehicle Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","SEO/HEO","10","10","35150","34310"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Government Actuary's Department","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Government Actuary's Department","EO","10","10","28300","28230"
"In post","2021","20-29","Analysis","Government Actuary's Department","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Government Actuary's Department","SEO/HEO","25","25","40150","37660"
"In post","2021","20-29","Analysis","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Courts and Tribunals Service","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","AA/AO","10","10","23330","24120"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","EO","10","10","27750","29570"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","G6/G7","30","30","52180","57610"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","SEO/HEO","195","195","35380","36160"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","G6/G7","30","30","55230","55500"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","SEO/HEO","40","40","34010","32320"
"In post","2021","20-29","Analysis","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Defence (excl. agencies)","EO","30","30","28160","27850"
"In post","2021","20-29","Analysis","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Defence (excl. agencies)","SEO/HEO","55","55","39390","38600"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","20","20","53490","53130"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","60","60","34400","33590"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","EO","30","30","25090","26410"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","G6/G7","20","20","56900","58130"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","SEO/HEO","85","85","35190","33930"
"In post","2021","20-29","Analysis","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","National Savings and Investments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","EO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","20","20","34320","32010"
"In post","2021","20-29","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
