"Status","Year","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","75","65","30250","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","40","40","34470","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","40","40","45980","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","540","495","30930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","365","350","32380","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Female","945","875","26190","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Male","625","605","28380","26520"
