"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","AA/AO","AA","60","50","20310","20230"
"In post","2021","Declared disabled","Asian","AA/AO","AO","725","635","22470","21180"
"In post","2021","Declared disabled","Asian","EO","EO","1010","925","28640","27950"
"In post","2021","Declared disabled","Asian","G6/G7","G6","50","50","67550","66600"
"In post","2021","Declared disabled","Asian","G6/G7","G7","175","170","55870","54500"
"In post","2021","Declared disabled","Asian","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","SEO/HEO","HEO","405","385","34280","34110"
"In post","2021","Declared disabled","Asian","SEO/HEO","SEO","225","220","41710","41350"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","95","85","30350","30210"
"In post","2021","Declared disabled","Black","AA/AO","AA","55","50","21330","21550"
"In post","2021","Declared disabled","Black","AA/AO","AO","410","370","24030","23500"
"In post","2021","Declared disabled","Black","EO","EO","680","640","29410","29570"
"In post","2021","Declared disabled","Black","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","G6/G7","G7","105","100","56260","54700"
"In post","2021","Declared disabled","Black","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","SEO/HEO","HEO","230","220","34670","35050"
"In post","2021","Declared disabled","Black","SEO/HEO","SEO","145","145","42080","40960"
"In post","2021","Declared disabled","Black","Unknown","Unknown","170","165","32410","30210"
"In post","2021","Declared disabled","Chinese","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AA/AO","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","EO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AA/AO","AA","25","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AA/AO","AO","270","245","22570","21010"
"In post","2021","Declared disabled","Mixed","EO","EO","370","340","28200","27570"
"In post","2021","Declared disabled","Mixed","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","G6/G7","G7","110","105","56310","54730"
"In post","2021","Declared disabled","Mixed","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","SEO/HEO","HEO","185","175","33910","33300"
"In post","2021","Declared disabled","Mixed","SEO/HEO","SEO","95","90","41940","40880"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","100","95","32860","32100"
"In post","2021","Declared disabled","Other ethnicity","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","AA/AO","AO","65","60","22620","21010"
"In post","2021","Declared disabled","Other ethnicity","EO","EO","115","110","28500","27570"
"In post","2021","Declared disabled","Other ethnicity","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G6/G7","G7","40","40","56120","53600"
"In post","2021","Declared disabled","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SEO/HEO","HEO","60","60","34530","34190"
"In post","2021","Declared disabled","Other ethnicity","SEO/HEO","SEO","35","30","43140","40670"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","AA/AO","AA","45","40","19200","19560"
"In post","2021","Declared disabled","Undeclared","AA/AO","AO","550","490","22530","21050"
"In post","2021","Declared disabled","Undeclared","EO","EO","685","625","28240","27570"
"In post","2021","Declared disabled","Undeclared","G6/G7","G6","35","30","67500","66440"
"In post","2021","Declared disabled","Undeclared","G6/G7","G7","135","125","55450","54650"
"In post","2021","Declared disabled","Undeclared","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","SEO/HEO","HEO","280","270","33960","33350"
"In post","2021","Declared disabled","Undeclared","SEO/HEO","SEO","185","180","41840","41030"
"In post","2021","Declared disabled","Undeclared","Unknown","Unknown","105","100","34370","33360"
"In post","2021","Declared disabled","Unknown","AA/AO","AA","50","45","20080","20070"
"In post","2021","Declared disabled","Unknown","AA/AO","AO","370","315","22540","21440"
"In post","2021","Declared disabled","Unknown","EO","EO","385","355","29190","27570"
"In post","2021","Declared disabled","Unknown","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","G6/G7","G7","80","80","55660","54780"
"In post","2021","Declared disabled","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SEO/HEO","HEO","190","175","34270","33750"
"In post","2021","Declared disabled","Unknown","SEO/HEO","SEO","105","100","42810","40940"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","35","30","33220","36580"
"In post","2021","Declared disabled","White","AA/AO","AA","1805","1600","19760","19560"
"In post","2021","Declared disabled","White","AA/AO","AO","11075","9680","22210","21010"
"In post","2021","Declared disabled","White","EO","EO","12415","11215","27560","27570"
"In post","2021","Declared disabled","White","G6/G7","G6","975","935","68070","66590"
"In post","2021","Declared disabled","White","G6/G7","G7","2840","2730","55020","54200"
"In post","2021","Declared disabled","White","SCS level","SCS level","365","360","89110","81000"
"In post","2021","Declared disabled","White","SEO/HEO","HEO","5900","5590","33290","33000"
"In post","2021","Declared disabled","White","SEO/HEO","SEO","3740","3565","41520","40580"
"In post","2021","Declared disabled","White","Unknown","Unknown","1940","1805","30990","30210"
"In post","2021","Declared non-disabled","Asian","AA/AO","AA","505","460","20700","20600"
"In post","2021","Declared non-disabled","Asian","AA/AO","AO","5860","5155","22300","21050"
"In post","2021","Declared non-disabled","Asian","EO","EO","7835","7315","28200","27570"
"In post","2021","Declared non-disabled","Asian","G6/G7","G6","465","450","69070","67160"
"In post","2021","Declared non-disabled","Asian","G6/G7","G7","1850","1800","56100","54700"
"In post","2021","Declared non-disabled","Asian","SCS level","SCS level","230","220","89850","83230"
"In post","2021","Declared non-disabled","Asian","SEO/HEO","HEO","3635","3515","33970","33680"
"In post","2021","Declared non-disabled","Asian","SEO/HEO","SEO","2140","2090","41920","41410"
