"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AO","Female","Heterosexual / straight","795","720","22370","21950"
"In post","2021","Attorney General's Departments","AO","Female","LGBO","30","30","22080","21950"
"In post","2021","Attorney General's Departments","AO","Female","Undeclared","35","35","22180","21950"
"In post","2021","Attorney General's Departments","AO","Female","Unknown","250","215","22200","21950"
"In post","2021","Attorney General's Departments","AO","Male","Heterosexual / straight","275","270","22510","21950"
"In post","2021","Attorney General's Departments","AO","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","AO","Male","Unknown","90","90","22150","21950"
"In post","2021","Attorney General's Departments","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Female","Heterosexual / straight","855","785","27920","27760"
"In post","2021","Attorney General's Departments","EO","Female","LGBO","50","50","27740","27350"
"In post","2021","Attorney General's Departments","EO","Female","Undeclared","40","40","28260","27580"
"In post","2021","Attorney General's Departments","EO","Female","Unknown","290","250","28410","28430"
"In post","2021","Attorney General's Departments","EO","Male","Heterosexual / straight","355","350","27960","27580"
"In post","2021","Attorney General's Departments","EO","Male","LGBO","45","45","29090","28430"
"In post","2021","Attorney General's Departments","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Male","Unknown","105","100","28160","28430"
"In post","2021","Attorney General's Departments","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6","Female","Heterosexual / straight","390","355","68040","66610"
"In post","2021","Attorney General's Departments","G6","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","G6","Female","Undeclared","40","35","69030","67100"
"In post","2021","Attorney General's Departments","G6","Female","Unknown","190","165","68290","66800"
"In post","2021","Attorney General's Departments","G6","Male","Heterosexual / straight","240","235","70180","68090"
"In post","2021","Attorney General's Departments","G6","Male","LGBO","40","35","69960","67670"
"In post","2021","Attorney General's Departments","G6","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","G6","Male","Unknown","145","140","70790","67680"
"In post","2021","Attorney General's Departments","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G7","Female","Heterosexual / straight","1625","1470","54430","51830"
