"Status","Year","Age","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","AA/AO","65","60","22940","22920"
"In post","2021","16-19","London","EO","85","80","26450","26410"
"In post","2021","16-19","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","AA/AO","880","845","20640","20810"
"In post","2021","16-19","Outside London","EO","215","215","21710","20230"
"In post","2021","16-19","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","35","35","18740","18460"
"In post","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","London","AA/AO","2655","2620","25640","24590"
"In post","2021","20-29","London","EO","5465","5415","29180","28810"
"In post","2021","20-29","London","G6/G7","3405","3395","55290","54110"
"In post","2021","20-29","London","SCS level","35","35","72130","71170"
"In post","2021","20-29","London","SEO/HEO","11090","11045","35670","34710"
"In post","2021","20-29","London","Unknown","355","355","28830","26810"
"In post","2021","20-29","Outside London","AA/AO","23755","23070","22130","21010"
"In post","2021","20-29","Outside London","EO","16025","15830","26290","26330"
"In post","2021","20-29","Outside London","G6/G7","890","885","51390","52290"
"In post","2021","20-29","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","20-29","Outside London","SEO/HEO","10320","10255","32750","31810"
"In post","2021","20-29","Outside London","Unknown","2220","2175","25420","23010"
"In post","2021","20-29","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Overseas","EO","20","20","27770","26670"
"In post","2021","20-29","Overseas","G6/G7","40","40","53140","52840"
"In post","2021","20-29","Overseas","SEO/HEO","225","225","35900","34220"
"In post","2021","20-29","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","45","45","21460","21010"
"In post","2021","20-29","Unknown","EO","100","95","27360","27570"
"In post","2021","20-29","Unknown","G6/G7","20","20","54490","54700"
"In post","2021","20-29","Unknown","SEO/HEO","350","350","31170","31990"
"In post","2021","20-29","Unknown","Unknown","375","375","28960","28980"
"In post","2021","30-39","London","AA/AO","1955","1835","26690","25390"
"In post","2021","30-39","London","EO","3860","3695","29950","29570"
"In post","2021","30-39","London","G6/G7","9450","9190","59080","57460"
"In post","2021","30-39","London","SCS level","935","905","79220","74840"
"In post","2021","30-39","London","SEO/HEO","7730","7565","38650","38580"
"In post","2021","30-39","London","Unknown","390","375","32600","34100"
"In post","2021","30-39","Outside London","AA/AO","23835","21635","22470","21010"
"In post","2021","30-39","Outside London","EO","21625","20425","27040","27380"
"In post","2021","30-39","Outside London","G6/G7","6555","6355","54250","52580"
"In post","2021","30-39","Outside London","SCS level","195","190","78860","75110"
"In post","2021","30-39","Outside London","SEO/HEO","22050","21300","35350","33840"
"In post","2021","30-39","Outside London","Unknown","2985","2760","30500","30210"
"In post","2021","30-39","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Overseas","EO","50","50","27410","26670"
"In post","2021","30-39","Overseas","G6/G7","470","470","56620","55060"
"In post","2021","30-39","Overseas","SCS level","25","25","75920","73410"
"In post","2021","30-39","Overseas","SEO/HEO","430","430","38060","34770"
"In post","2021","30-39","Overseas","Unknown","80","80","[c]","[c]"
"In post","2021","30-39","Unknown","AA/AO","30","25","21230","21010"
"In post","2021","30-39","Unknown","EO","130","125","27670","27570"
"In post","2021","30-39","Unknown","G6/G7","60","55","58190","56730"
"In post","2021","30-39","Unknown","SCS level","10","10","79010","72560"
"In post","2021","30-39","Unknown","SEO/HEO","135","130","34080","32320"
"In post","2021","30-39","Unknown","Unknown","420","420","37240","33860"
"In post","2021","40-49","London","AA/AO","2265","2055","25840","25110"
"In post","2021","40-49","London","EO","3985","3730","30150","30270"
"In post","2021","40-49","London","G6/G7","7485","7125","61710","59900"
"In post","2021","40-49","London","SCS level","2005","1925","89160","80800"
"In post","2021","40-49","London","SEO/HEO","6225","6015","39680","39530"
"In post","2021","40-49","London","Unknown","335","320","36260","36580"
"In post","2021","40-49","Outside London","AA/AO","24910","22220","22280","21010"
"In post","2021","40-49","Outside London","EO","24195","22460","27390","27570"
"In post","2021","40-49","Outside London","G6/G7","11165","10775","57240","54700"
"In post","2021","40-49","Outside London","SCS level","770","755","86480","81000"
"In post","2021","40-49","Outside London","SEO/HEO","23905","22920","36710","36030"
"In post","2021","40-49","Outside London","Unknown","3145","2900","33740","33360"
"In post","2021","40-49","Overseas","AA/AO","15","15","22500","23000"
"In post","2021","40-49","Overseas","EO","85","80","27920","27170"
"In post","2021","40-49","Overseas","G6/G7","450","450","60710","60080"
"In post","2021","40-49","Overseas","SCS level","115","115","81810","74740"
"In post","2021","40-49","Overseas","SEO/HEO","425","425","41090","39230"
"In post","2021","40-49","Overseas","Unknown","85","85","[c]","[c]"
"In post","2021","40-49","Unknown","AA/AO","40","35","21900","21010"
"In post","2021","40-49","Unknown","EO","125","120","27890","27570"
"In post","2021","40-49","Unknown","G6/G7","45","45","58290","54700"
"In post","2021","40-49","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SEO/HEO","100","95","36430","34500"
"In post","2021","40-49","Unknown","Unknown","410","410","39660","34460"
"In post","2021","50-59","London","AA/AO","3600","3375","25290","25060"
"In post","2021","50-59","London","EO","5820","5505","30510","30560"
"In post","2021","50-59","London","G6/G7","5980","5835","63300","61590"
"In post","2021","50-59","London","SCS level","1415","1385","98630","90520"
"In post","2021","50-59","London","SEO/HEO","7025","6870","40200","39800"
"In post","2021","50-59","London","Unknown","380","370","36500","36580"
"In post","2021","50-59","Outside London","AA/AO","36790","32895","22250","21010"
"In post","2021","50-59","Outside London","EO","33080","30555","27790","27570"
"In post","2021","50-59","Outside London","G6/G7","12070","11765","58850","56350"
"In post","2021","50-59","Outside London","SCS level","1095","1075","92540","84710"
"In post","2021","50-59","Outside London","SEO/HEO","28745","27685","37280","36110"
"In post","2021","50-59","Outside London","Unknown","3055","2880","34240","32710"
"In post","2021","50-59","Overseas","AA/AO","20","20","22120","22010"
"In post","2021","50-59","Overseas","EO","105","100","28390","27370"
"In post","2021","50-59","Overseas","G6/G7","320","315","63490","63200"
"In post","2021","50-59","Overseas","SCS level","110","110","90990","84620"
"In post","2021","50-59","Overseas","SEO/HEO","380","380","42720","40120"
"In post","2021","50-59","Overseas","Unknown","55","55","47860","47920"
"In post","2021","50-59","Unknown","AA/AO","75","65","22810","22080"
"In post","2021","50-59","Unknown","EO","185","170","28450","27570"
"In post","2021","50-59","Unknown","G6/G7","55","55","56540","54700"
"In post","2021","50-59","Unknown","SCS level","10","10","100200","82240"
"In post","2021","50-59","Unknown","SEO/HEO","135","135","38150","36460"
"In post","2021","50-59","Unknown","Unknown","520","520","42180","37150"
"In post","2021","60-64","London","AA/AO","1360","1210","24730","24900"
"In post","2021","60-64","London","EO","1515","1310","30570","30780"
"In post","2021","60-64","London","G6/G7","1015","915","64750","63180"
"In post","2021","60-64","London","SCS level","235","220","103960","94900"
"In post","2021","60-64","London","SEO/HEO","1445","1295","40900","39800"
"In post","2021","60-64","London","Unknown","125","115","36740","34170"
"In post","2021","60-64","Outside London","AA/AO","13130","10550","21600","21010"
"In post","2021","60-64","Outside London","EO","9075","7110","27750","27570"
"In post","2021","60-64","Outside London","G6/G7","2025","1750","60080","58000"
"In post","2021","60-64","Outside London","SCS level","175","160","103690","96630"
"In post","2021","60-64","Outside London","SEO/HEO","6170","5130","37610","35900"
"In post","2021","60-64","Outside London","Unknown","985","845","32150","28920"
"In post","2021","60-64","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Overseas","EO","15","15","28180","27710"
"In post","2021","60-64","Overseas","G6/G7","55","55","64300","64130"
"In post","2021","60-64","Overseas","SCS level","35","35","92000","83090"
"In post","2021","60-64","Overseas","SEO/HEO","75","75","42150","40580"
"In post","2021","60-64","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","60-64","Unknown","AA/AO","35","30","23010","23130"
"In post","2021","60-64","Unknown","EO","40","30","29230","28170"
"In post","2021","60-64","Unknown","G6/G7","15","10","61840","61090"
"In post","2021","60-64","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","SEO/HEO","35","35","41520","39720"
"In post","2021","60-64","Unknown","Unknown","130","130","39070","35380"
"In post","2021","65+","London","AA/AO","805","660","24340","24490"
"In post","2021","65+","London","EO","575","455","30420","30780"
"In post","2021","65+","London","G6/G7","305","250","65430","63610"
"In post","2021","65+","London","SCS level","60","50","110330","102700"
"In post","2021","65+","London","SEO/HEO","415","350","41240","39800"
"In post","2021","65+","London","Unknown","60","50","35640","32710"
"In post","2021","65+","Outside London","AA/AO","4350","3295","21140","21010"
"In post","2021","65+","Outside London","EO","2485","1810","27620","27570"
"In post","2021","65+","Outside London","G6/G7","545","410","62310","59750"
"In post","2021","65+","Outside London","SCS level","45","35","99300","100020"
"In post","2021","65+","Outside London","SEO/HEO","1595","1210","37830","36240"
"In post","2021","65+","Outside London","Unknown","325","255","32860","31420"
"In post","2021","65+","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","65+","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","SEO/HEO","10","10","37400","34710"
"In post","2021","65+","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","AA/AO","15","10","22940","23690"
"In post","2021","65+","Unknown","EO","10","10","29200","30250"
"In post","2021","65+","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","65+","Unknown","Unknown","20","20","37850","32700"
"In post","2021","Unknown","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Unknown","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Unknown","Outside London","EO","20","20","27220","27570"
"In post","2021","Unknown","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outside London","SEO/HEO","5","5","[c]","[c]"
"Leaver CS","2021","16-19","London","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Outside London","AA/AO","80","[c]","20410","21010"
"Leaver CS","2021","16-19","Outside London","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","AA/AO","545","[c]","22450","22680"
"Leaver CS","2021","20-29","London","EO","415","[c]","27300","27760"
"Leaver CS","2021","20-29","London","G6/G7","80","[c]","55300","54070"
"Leaver CS","2021","20-29","London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","SEO/HEO","430","[c]","34780","33780"
"Leaver CS","2021","20-29","London","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Outside London","AA/AO","2550","[c]","20700","21010"
"Leaver CS","2021","20-29","Outside London","EO","685","[c]","24900","25480"
"Leaver CS","2021","20-29","Outside London","G6/G7","20","[c]","52180","53000"
"Leaver CS","2021","20-29","Outside London","SEO/HEO","295","[c]","32970","32010"
"Leaver CS","2021","20-29","Outside London","Unknown","125","[c]","26760","25590"
"Leaver CS","2021","20-29","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Overseas","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","AA/AO","20","[c]","21190","21010"
"Leaver CS","2021","20-29","Unknown","EO","10","[c]","27050","27530"
"Leaver CS","2021","20-29","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","SEO/HEO","30","[c]","30810","28420"
"Leaver CS","2021","20-29","Unknown","Unknown","135","[c]","27620","28680"
"Leaver CS","2021","30-39","London","AA/AO","145","[c]","24220","24150"
"Leaver CS","2021","30-39","London","EO","190","[c]","29460","29710"
"Leaver CS","2021","30-39","London","G6/G7","320","[c]","57630","54900"
"Leaver CS","2021","30-39","London","SCS level","25","[c]","78330","76850"
"Leaver CS","2021","30-39","London","SEO/HEO","330","[c]","38240","38600"
"Leaver CS","2021","30-39","London","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Outside London","AA/AO","1505","[c]","21400","21010"
"Leaver CS","2021","30-39","Outside London","EO","620","[c]","27020","27570"
"Leaver CS","2021","30-39","Outside London","G6/G7","145","[c]","55380","54120"
