"Status","Year","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","270","250","22530","21590"
"In post","2021","Commercial","EO","710","675","25970","26400"
"In post","2021","Commercial","G6/G7","1020","990","59000","56420"
"In post","2021","Commercial","SCS level","100","100","89570","81130"
"In post","2021","Commercial","SEO/HEO","3045","2945","37650","37320"
"In post","2021","Commercial","Unknown","220","215","38620","37230"
"In post","2021","Communications","AA/AO","240","230","22250","21590"
"In post","2021","Communications","EO","635","605","27460","27140"
"In post","2021","Communications","G6/G7","945","910","58070","56690"
"In post","2021","Communications","SCS level","115","115","86780","80910"
"In post","2021","Communications","SEO/HEO","2025","1965","37950","37410"
"In post","2021","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","5","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","20","20","26180","26390"
"In post","2021","Corporate Finance","G6/G7","70","70","58240","56360"
"In post","2021","Corporate Finance","SCS level","10","10","95250","95400"
"In post","2021","Corporate Finance","SEO/HEO","60","60","36970","37320"
"In post","2021","Counter Fraud","AA/AO","55","45","20900","21430"
"In post","2021","Counter Fraud","EO","185","175","26610","26090"
"In post","2021","Counter Fraud","G6/G7","120","115","61670","58820"
"In post","2021","Counter Fraud","SCS level","10","10","91470","80000"
"In post","2021","Counter Fraud","SEO/HEO","525","505","37550","37910"
"In post","2021","Digital, Data and Technology","AA/AO","445","430","21920","21580"
"In post","2021","Digital, Data and Technology","EO","2220","2145","27500","26670"
"In post","2021","Digital, Data and Technology","G6/G7","3460","3400","58330","57050"
"In post","2021","Digital, Data and Technology","SCS level","225","220","91190","85000"
"In post","2021","Digital, Data and Technology","SEO/HEO","6875","6690","37750","37450"
"In post","2021","Digital, Data and Technology","Unknown","65","65","36010","33400"
"In post","2021","Economics","AA/AO","90","90","22640","22500"
"In post","2021","Economics","EO","120","120","27000","26750"
"In post","2021","Economics","G6/G7","945","920","59590","58000"
"In post","2021","Economics","SCS level","95","90","88830","82390"
"In post","2021","Economics","SEO/HEO","910","900","34940","33930"
"In post","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","1165","990","21410","21430"
"In post","2021","Finance","EO","1630","1540","26570","26670"
"In post","2021","Finance","G6/G7","2140","2095","59080","57900"
"In post","2021","Finance","SCS level","280","275","90570","83380"
"In post","2021","Finance","SEO/HEO","3815","3690","37790","37290"
"In post","2021","Finance","Unknown","135","130","41340","39860"
"In post","2021","Human Resources","AA/AO","1210","1110","21650","21130"
"In post","2021","Human Resources","EO","1380","1300","27120","26710"
"In post","2021","Human Resources","G6/G7","1665","1610","58310","57430"
"In post","2021","Human Resources","SCS level","195","190","89040","82680"
"In post","2021","Human Resources","SEO/HEO","3375","3220","36840","36330"
"In post","2021","Human Resources","Unknown","40","40","41740","41030"
"In post","2021","Inspector of Education and Training","G6/G7","510","500","75360","75500"
"In post","2021","Inspector of Education and Training","SCS level","10","10","131880","128660"
"In post","2021","Inspector of Education and Training","SEO/HEO","335","325","51020","51360"
"In post","2021","Intelligence Analysis","AA/AO","130","115","23320","21900"
"In post","2021","Intelligence Analysis","EO","1565","1480","27800","27370"
"In post","2021","Intelligence Analysis","G6/G7","410","400","58590","57460"
"In post","2021","Intelligence Analysis","SCS level","25","25","80820","78490"
"In post","2021","Intelligence Analysis","SEO/HEO","1270","1235","36990","36160"
"In post","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","20","20","29060","31650"
"In post","2021","Internal Audit","EO","50","45","28360","26930"
"In post","2021","Internal Audit","G6/G7","195","190","58920","56840"
"In post","2021","Internal Audit","SCS level","25","25","91310","88060"
"In post","2021","Internal Audit","SEO/HEO","480","455","40520","40190"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","100","95","26910","26510"
"In post","2021","International Trade","G6/G7","595","590","55610","53420"
"In post","2021","International Trade","SCS level","115","110","85670","75570"
"In post","2021","International Trade","SEO/HEO","660","650","35430","34980"
"In post","2021","Knowledge and Information Management","AA/AO","335","320","22110","21490"
"In post","2021","Knowledge and Information Management","EO","505","480","26950","26670"
"In post","2021","Knowledge and Information Management","G6/G7","405","385","57470","55550"
"In post","2021","Knowledge and Information Management","SCS level","20","20","84320","78820"
"In post","2021","Knowledge and Information Management","SEO/HEO","1055","1015","36840","36540"
"In post","2021","Knowledge and Information Management","Unknown","60","60","47100","44000"
"In post","2021","Legal","AA/AO","305","275","21500","21400"
"In post","2021","Legal","EO","1940","1870","27400","25670"
"In post","2021","Legal","G6/G7","5930","5475","59420","58040"
"In post","2021","Legal","SCS level","390","375","88390","82870"
"In post","2021","Legal","SEO/HEO","3575","3360","38370","37940"
"In post","2021","Legal","Unknown","5","5","[c]","[c]"
"In post","2021","Medicine","AA/AO","345","325","22100","22640"
"In post","2021","Medicine","EO","335","305","30550","30620"
"In post","2021","Medicine","G6/G7","670","580","74320","75330"
"In post","2021","Medicine","SCS level","420","365","106790","101230"
"In post","2021","Medicine","SEO/HEO","735","670","38660","37890"
"In post","2021","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA/AO","80935","72685","22960","21440"
"In post","2021","Operational Delivery","EO","45090","41840","27760","26880"
"In post","2021","Operational Delivery","G6/G7","6545","6365","58760","56490"
"In post","2021","Operational Delivery","SCS level","655","640","92990","86780"
"In post","2021","Operational Delivery","SEO/HEO","30680","29210","36840","35570"
"In post","2021","Operational Delivery","Unknown","12205","11285","29920","28430"
"In post","2021","Operational Research","AA/AO","35","35","22430","21590"
"In post","2021","Operational Research","EO","55","55","27900","26670"
"In post","2021","Operational Research","G6/G7","505","480","54330","53660"
"In post","2021","Operational Research","SCS level","25","25","80080","79140"
"In post","2021","Operational Research","SEO/HEO","565","550","36760","37320"
"In post","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","AA/AO","7840","7455","21250","20920"
"In post","2021","Other","EO","5150","4905","26400","26670"
"In post","2021","Other","G6/G7","1955","1890","61690","59160"
"In post","2021","Other","SCS level","270","260","94350","87250"
"In post","2021","Other","SEO/HEO","5390","5205","36110","35400"
"In post","2021","Other","Unknown","2060","2055","38270","34660"
"In post","2021","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","20","20","27850","27850"
"In post","2021","Planning","G6/G7","60","60","57840","54940"
"In post","2021","Planning","SCS level","10","10","88110","80630"
"In post","2021","Planning","SEO/HEO","105","100","38690","39100"
"In post","2021","Planning Inspectors","G6/G7","340","300","57760","58810"
"In post","2021","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","795","755","23450","23510"
"In post","2021","Policy","EO","2690","2610","28300","28490"
"In post","2021","Policy","G6/G7","11380","11060","58480","57310"
"In post","2021","Policy","SCS level","1835","1775","85630","77730"
"In post","2021","Policy","SEO/HEO","12365","12065","37190","36780"
"In post","2021","Policy","Unknown","30","30","43910","39880"
"In post","2021","Project Delivery","AA/AO","320","305","21740","21390"
"In post","2021","Project Delivery","EO","1905","1830","26540","26670"
"In post","2021","Project Delivery","G6/G7","4335","4235","56890","54860"
"In post","2021","Project Delivery","SCS level","430","420","92030","85440"
"In post","2021","Project Delivery","SEO/HEO","8485","8215","36880","37320"
"In post","2021","Project Delivery","Unknown","550","535","43170","40640"
"In post","2021","Property","AA/AO","1020","960","19660","18800"
"In post","2021","Property","EO","1505","1410","27020","26560"
"In post","2021","Property","G6/G7","1160","1130","58120","56140"
"In post","2021","Property","SCS level","70","65","90360","81660"
"In post","2021","Property","SEO/HEO","3170","3045","37180","36240"
"In post","2021","Property","Unknown","45","45","26750","21600"
"In post","2021","Psychology","AA/AO","70","65","21260","20890"
"In post","2021","Psychology","EO","425","410","26890","26330"
"In post","2021","Psychology","G6/G7","120","115","63810","65520"
"In post","2021","Psychology","SEO/HEO","800","765","37340","33120"
"In post","2021","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","AA/AO","1405","1345","21720","21640"
"In post","2021","Science and Engineering","EO","2000","1945","25870","26370"
"In post","2021","Science and Engineering","G6/G7","3130","2975","55650","54290"
"In post","2021","Science and Engineering","SCS level","130","115","98650","94590"
"In post","2021","Science and Engineering","SEO/HEO","6610","6330","37050","37320"
"In post","2021","Science and Engineering","Unknown","815","805","39340","37030"
"In post","2021","Security","AA/AO","5420","5310","26850","22650"
"In post","2021","Security","EO","1095","1070","32830","29080"
"In post","2021","Security","G6/G7","340","335","59680","57430"
"In post","2021","Security","SCS level","25","25","87250","76710"
"In post","2021","Security","SEO/HEO","1350","1325","40480","38160"
"In post","2021","Security","Unknown","80","80","37190","37170"
