"Status","Year","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Female","205","195","43230","38630"
"In post","2021","Asian","Analysis","Male","220","220","42530","39730"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Female","140","135","39670","34550"
"In post","2021","Asian","Commercial","Male","135","135","42930","37920"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Female","215","205","35740","31810"
"In post","2021","Asian","Communications","Male","295","290","30500","26210"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","285","265","31500","29570"
"In post","2021","Asian","Counter Fraud","Male","325","320","33160","31810"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Female","215","180","23710","24360"
"In post","2021","Asian","Debt","Male","135","125","24100","21400"
"In post","2021","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Female","325","315","41290","36390"
"In post","2021","Asian","Digital, Data & Technology","Male","480","480","41190","37640"
"In post","2021","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Female","365","345","36730","33660"
"In post","2021","Asian","Finance","Male","380","380","39760","36640"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Female","15","15","[c]","[c]"
"In post","2021","Asian","Grants Management","Male","5","5","[c]","[c]"
"In post","2021","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Female","355","340","37070","33950"
"In post","2021","Asian","Human Resources","Male","115","115","36230","32310"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Female","35","35","43360","41350"
"In post","2021","Asian","Internal Audit","Male","40","40","49050","49430"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Female","780","710","42110","40920"
"In post","2021","Asian","Legal","Male","370","360","43290","40800"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Female","5100","4660","32200","28130"
"In post","2021","Asian","No function","Male","4215","4070","32940","29730"
"In post","2021","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Female","555","535","41070","37640"
"In post","2021","Asian","Project Delivery","Male","575","575","42080","38630"
"In post","2021","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Female","155","145","31710","29450"
"In post","2021","Asian","Property","Male","155","155","37060","31810"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Female","75","75","34800","33080"
"In post","2021","Asian","Security","Male","145","145","30450","26590"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Female","7495","6570","29400","27570"
"In post","2021","Asian","Unknown","Male","5240","5075","30010","27570"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Female","95","95","38410","36120"
"In post","2021","Black","Analysis","Male","80","80","41080","39870"
"In post","2021","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Female","120","120","38600","36060"
"In post","2021","Black","Commercial","Male","65","65","43940","40580"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Female","140","135","33700","31810"
"In post","2021","Black","Communications","Male","70","70","31410","25560"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Female","165","160","31400","29570"
"In post","2021","Black","Counter Fraud","Male","85","85","31710","29570"
"In post","2021","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Female","95","90","25420","24120"
"In post","2021","Black","Debt","Male","55","55","25310","25600"
"In post","2021","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Female","155","155","38250","35960"
"In post","2021","Black","Digital, Data & Technology","Male","220","215","39930","36030"
"In post","2021","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Female","215","210","38080","35990"
"In post","2021","Black","Finance","Male","135","135","41640","38580"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Female","5","5","[c]","[c]"
"In post","2021","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Female","255","250","37270","33820"
"In post","2021","Black","Human Resources","Male","50","50","38230","34640"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Female","20","20","[c]","[c]"
"In post","2021","Black","Internal Audit","Male","10","10","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Female","475","450","40580","35000"
"In post","2021","Black","Legal","Male","170","170","43150","36160"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","Female","3585","3415","31690","28690"
"In post","2021","Black","No function","Male","2235","2185","32930","31570"
"In post","2021","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Female","395","390","39120","36160"
"In post","2021","Black","Project Delivery","Male","265","260","39070","36650"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Female","90","85","34880","31620"
"In post","2021","Black","Property","Male","55","55","38770","37530"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Female","35","35","34710","34550"
"In post","2021","Black","Security","Male","80","80","29470","22650"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Female","4195","3905","30300","29360"
"In post","2021","Black","Unknown","Male","1965","1925","30800","29290"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Female","35","30","46770","43490"
"In post","2021","Chinese","Analysis","Male","35","35","45620","41100"
"In post","2021","Chinese","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Chinese","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Female","10","10","[c]","[c]"
"In post","2021","Chinese","Communications","Male","15","15","[c]","[c]"
"In post","2021","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Female","15","10","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Male","10","10","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","Female","5","5","[c]","[c]"
"In post","2021","Chinese","Debt","Male","5","5","[c]","[c]"
"In post","2021","Chinese","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Female","20","20","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Male","30","30","42440","38040"
"In post","2021","Chinese","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Female","35","35","40590","35360"
"In post","2021","Chinese","Finance","Male","20","20","[c]","[c]"
"In post","2021","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Female","15","15","[c]","[c]"
"In post","2021","Chinese","Human Resources","Male","5","5","[c]","[c]"
"In post","2021","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Female","5","5","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Female","45","40","44810","50500"
"In post","2021","Chinese","Legal","Male","15","15","[c]","[c]"
"In post","2021","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","Female","260","245","36900","32790"
"In post","2021","Chinese","No function","Male","195","190","36610","32560"
"In post","2021","Chinese","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Female","30","30","46820","41980"
"In post","2021","Chinese","Project Delivery","Male","15","15","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Female","10","10","[c]","[c]"
"In post","2021","Chinese","Property","Male","[c]","[c]","[c]","[c]"
