"Status","Year","Parent_department","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Outside London","Female","300","270","37150","30130"
"In post","2021","Attorney General's Departments","East Midlands (England)","Outside London","Male","140","140","40540","45140"
"In post","2021","Attorney General's Departments","East of England","Outside London","Female","330","285","37950","30110"
"In post","2021","Attorney General's Departments","East of England","Outside London","Male","150","145","46020","50520"
"In post","2021","Attorney General's Departments","London","London","Female","2935","2700","49500","51250"
"In post","2021","Attorney General's Departments","London","London","Male","1750","1715","50830","51250"
"In post","2021","Attorney General's Departments","North East (England)","Outside London","Female","230","205","36330","28430"
"In post","2021","Attorney General's Departments","North East (England)","Outside London","Male","110","105","41530","48080"
"In post","2021","Attorney General's Departments","North West (England)","Outside London","Female","650","590","37850","30610"
"In post","2021","Attorney General's Departments","North West (England)","Outside London","Male","320","315","43070","48080"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Outside London","Female","475","430","40860","33930"
"In post","2021","Attorney General's Departments","South East (England)","Outside London","Male","220","215","45120","50520"
"In post","2021","Attorney General's Departments","South West (England)","Outside London","Female","205","185","39820","38000"
"In post","2021","Attorney General's Departments","South West (England)","Outside London","Male","125","125","44800","49650"
"In post","2021","Attorney General's Departments","Wales","Outside London","Female","240","220","38680","34480"
"In post","2021","Attorney General's Departments","Wales","Outside London","Male","115","110","46540","48830"
"In post","2021","Attorney General's Departments","West Midlands (England)","Outside London","Female","380","345","38270","32370"
"In post","2021","Attorney General's Departments","West Midlands (England)","Outside London","Male","175","175","43690","48080"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Outside London","Female","635","565","40200","38000"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Outside London","Male","350","335","45670","49650"
"In post","2021","Cabinet Office","East Midlands (England)","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Outside London","Female","60","55","46960","38460"
"In post","2021","Cabinet Office","East of England","Outside London","Male","55","55","46550","44060"
"In post","2021","Cabinet Office","London","London","Female","3450","3375","47090","40600"
"In post","2021","Cabinet Office","London","London","Male","3050","3035","52820","54700"
"In post","2021","Cabinet Office","North East (England)","Outside London","Female","255","230","28400","24570"
"In post","2021","Cabinet Office","North East (England)","Outside London","Male","165","160","31040","23850"
"In post","2021","Cabinet Office","North West (England)","Outside London","Female","250","240","45240","38890"
"In post","2021","Cabinet Office","North West (England)","Outside London","Male","205","205","48710","49700"
"In post","2021","Cabinet Office","Northern Ireland","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Outside London","Female","45","45","48150","36460"
"In post","2021","Cabinet Office","Scotland","Outside London","Male","35","35","48250","50010"
"In post","2021","Cabinet Office","South East (England)","Outside London","Female","105","100","39030","33300"
"In post","2021","Cabinet Office","South East (England)","Outside London","Male","110","110","46100","34640"
"In post","2021","Cabinet Office","South West (England)","Outside London","Female","75","75","54100","49620"
"In post","2021","Cabinet Office","South West (England)","Outside London","Male","110","110","53580","51700"
"In post","2021","Cabinet Office","Unknown","Unknown","Female","325","320","36050","32000"
"In post","2021","Cabinet Office","Unknown","Unknown","Male","275","275","36480","32000"
"In post","2021","Cabinet Office","Wales","Outside London","Female","35","35","35320","29250"
"In post","2021","Cabinet Office","Wales","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","Outside London","Female","30","30","55500","51650"
"In post","2021","Cabinet Office","West Midlands (England)","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Yorkshire and The Humber","Outside London","Female","395","370","36140","32960"
"In post","2021","Cabinet Office","Yorkshire and The Humber","Outside London","Male","340","330","36570","33300"
"In post","2021","Chancellor's other departments","London","London","Female","155","145","53920","47940"
"In post","2021","Chancellor's other departments","London","London","Male","205","200","63760","52280"
"In post","2021","Chancellor's other departments","North East (England)","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","London","Female","50","45","41680","37910"
"In post","2021","Charity Commission","London","London","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Outside London","Female","175","160","32560","29160"
"In post","2021","Charity Commission","North West (England)","Outside London","Male","130","130","33070","29160"
"In post","2021","Charity Commission","South West (England)","Outside London","Female","25","20","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","Wales","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","Wales","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","London","Female","400","380","58800","56000"
"In post","2021","Competition and Markets Authority","London","London","Male","385","380","62910","59170"
"In post","2021","Competition and Markets Authority","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Outside London","Female","30","30","55280","55090"
"In post","2021","Competition and Markets Authority","Scotland","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","Female","120","110","30400","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","Male","95","90","34390","34390"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","Outside London","Female","130","115","31680","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","Outside London","Male","85","85","36100","35150"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","London","Female","2740","2640","47180","43130"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","London","Male","2880","2855","49900","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","Female","130","120","30320","29190"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","Male","80","80","34280","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","Female","255","240","31880","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","Male","205","195","33880","33720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","Male","20","20","[c]","[c]"
