"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Communications","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","Inner London - East","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","Inner London - West","15","15","[c]","[c]"
"In post","2021","Asian","Corporate Finance","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Inner London - West","30","30","38430","33100"
"In post","2021","Asian","Counter Fraud","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","East Anglia","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","Essex","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","Inner London - East","120","120","46390","41760"
"In post","2021","Asian","Digital, Data and Technology","London","Inner London - West","215","215","46240","42240"
"In post","2021","Asian","Digital, Data and Technology","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","Outer London - South","90","90","49220","45200"
"In post","2021","Asian","Digital, Data and Technology","London","Outer London - West and North West","65","65","44660","41670"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","Northumberland and Tyne and Wear","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","Greater Manchester","40","40","36470","35010"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","20","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","Devon","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","35","35","40780","40510"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","East Wales","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","West Midlands","75","75","37950","36500"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","30","30","32890","31810"
"In post","2021","Asian","Economics","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","Inner London - East","20","20","[c]","[c]"
"In post","2021","Asian","Economics","London","Inner London - West","130","130","45470","47220"
"In post","2021","Asian","Economics","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Asian","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Wales","East Wales","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2021","Asian","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","Asian","Finance","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","East of England","Bedfordshire and Hertfordshire","15","15","[c]","[c]"
"In post","2021","Asian","Finance","East of England","East Anglia","5","5","[c]","[c]"
"In post","2021","Asian","Finance","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","Inner London - East","65","65","44380","42070"
"In post","2021","Asian","Finance","London","Inner London - West","290","285","43930","40040"
"In post","2021","Asian","Finance","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","Outer London - South","50","45","40670","36240"
"In post","2021","Asian","Finance","London","Outer London - West and North West","25","25","[c]","[c]"
"In post","2021","Asian","Finance","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North West (England)","Greater Manchester","20","20","[c]","[c]"
"In post","2021","Asian","Finance","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","25","20","[c]","[c]"
"In post","2021","Asian","Finance","South East (England)","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2021","Asian","Finance","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","45","40","41640","33950"
"In post","2021","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Wales","East Wales","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Midlands (England)","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2021","Asian","Finance","West Midlands (England)","West Midlands","75","75","35520","32300"
"In post","2021","Asian","Finance","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Yorkshire and The Humber","South Yorkshire","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Yorkshire and The Humber","West Yorkshire","45","40","28410","25560"
"In post","2021","Asian","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2021","Asian","Human Resources","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Inner London - East","45","45","38300","34570"
"In post","2021","Asian","Human Resources","London","Inner London - West","165","160","42380","37040"
"In post","2021","Asian","Human Resources","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Outer London - South","40","40","38150","35070"
"In post","2021","Asian","Human Resources","London","Outer London - West and North West","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North West (England)","Greater Manchester","25","20","[c]","[c]"
"In post","2021","Asian","Human Resources","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Wales","East Wales","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Midlands (England)","West Midlands","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Yorkshire and The Humber","West Yorkshire","15","15","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East of England","East Anglia","[c]","[c]","[c]","[c]"
