"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","150","145","23370","23000"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","60","60","70340","69530"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","150","145","53930","54270"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","350","335","31480","32600"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","20","15","107290","103620"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","295","280","40780","40980"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","130","130","38520","36040"
"In post","2021","Commercial","Bedford","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","SEO","10","10","39960","39760"
"In post","2021","Commercial","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","EO","15","15","26740","26350"
