"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","AA/AO","Female","450","370","22190","21310"
"In post","2021","Declared disabled","Asian","AA/AO","Male","335","310","22450","21010"
"In post","2021","Declared disabled","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","EO","Female","605","540","28790","28650"
"In post","2021","Declared disabled","Asian","EO","Male","400","385","28400","27570"
"In post","2021","Declared disabled","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6/G7","Female","130","125","58450","56900"
"In post","2021","Declared disabled","Asian","G6/G7","Male","95","95","58370","57410"
"In post","2021","Declared disabled","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SEO/HEO","Female","320","305","36790","36270"
"In post","2021","Declared disabled","Asian","SEO/HEO","Male","310","305","37080","36470"
"In post","2021","Declared disabled","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Female","65","60","30240","30210"
"In post","2021","Declared disabled","Asian","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","AA/AO","Female","325","285","23570","23500"
"In post","2021","Declared disabled","Black","AA/AO","Male","140","135","24030","22680"
"In post","2021","Declared disabled","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","EO","Female","520","480","29450","29970"
"In post","2021","Declared disabled","Black","EO","Male","160","155","29280","29290"
"In post","2021","Declared disabled","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","G6/G7","Female","80","80","57310","54740"
"In post","2021","Declared disabled","Black","G6/G7","Male","35","35","58970","57030"
"In post","2021","Declared disabled","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","SEO/HEO","Female","260","255","37600","36630"
"In post","2021","Declared disabled","Black","SEO/HEO","Male","115","115","37520","36340"
"In post","2021","Declared disabled","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Female","140","135","32200","30210"
"In post","2021","Declared disabled","Black","Unknown","Male","30","30","33310","33640"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AA/AO","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","Unknown","[c]","[c]","[c]","[c]"
