"Status","Year","Organisation","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Female","75","65","30300","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Male","40","35","34330","29190"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Female","55","55","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Male","30","30","31820","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Female","30","30","31860","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Female","60","55","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Male","35","35","31530","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Female","50","45","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Female","40","35","31420","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Male","30","30","32250","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Female","60","55","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Male","35","35","29750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Female","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Male","45","45","30700","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Female","115","105","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Male","90","90","45330","43750"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Female","30","30","28040","22360"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Male","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Female","50","50","25340","21050"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Male","35","35","31950","29800"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Female","30","30","33240","27850"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Male","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","Female","135","125","26050","21050"
"In post","2021","Animal and Plant Health Agency","Devon CC","Male","75","70","29510","24920"
"In post","2021","Animal and Plant Health Agency","Dorset CC","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","Female","100","95","25540","21050"
"In post","2021","Animal and Plant Health Agency","East Cumbria","Male","55","55","25810","21050"
"In post","2021","Animal and Plant Health Agency","East Kent","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Kent","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","Female","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","Female","40","35","31270","29710"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","Male","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gwynedd","Female","50","40","26390","21050"
"In post","2021","Animal and Plant Health Agency","Gwynedd","Male","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","Male","20","20","[c]","[c]"
