"Status","Year","Age","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AA/AO","Heterosexual / straight","30","30","22640","21430"
"In post","2021","16-19","East of England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","East of England","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA/AO","Heterosexual / straight","40","35","23410","23500"
"In post","2021","16-19","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","EO","Heterosexual / straight","55","55","26510","26330"
"In post","2021","16-19","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","London","EO","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","AA/AO","Heterosexual / straight","50","45","20760","21010"
"In post","2021","16-19","North East (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","AA/AO","Unknown","35","30","20190","20140"
"In post","2021","16-19","North East (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","North West (England)","AA/AO","Heterosexual / straight","70","65","20760","21010"
"In post","2021","16-19","North West (England)","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","16-19","North West (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","AA/AO","Unknown","40","40","20250","20140"
"In post","2021","16-19","North West (England)","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","North West (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","AA/AO","Heterosexual / straight","80","75","20980","21010"
"In post","2021","16-19","Scotland","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Scotland","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Scotland","AA/AO","Unknown","65","60","20320","20140"
"In post","2021","16-19","Scotland","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","EO","Unknown","10","10","[c]","[c]"
