"Status","Year","Disability","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","255","235","30740","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Female","LGBO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Female","Undeclared","30","30","29620","28990"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","140","135","32690","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","430","395","30660","28670"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","30","30","26880","25920"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","65","55","33780","28550"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","30","25","33800","27630"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","340","335","32880","30430"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","35","35","31590","30400"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","45","40","33220","32320"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Female","Heterosexual / straight","215","190","27730","27570"
