"Status","Year","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Female","55255","52195","41930","36160"
"In post","2021","London","Male","46645","45780","45040","39430"
"In post","2021","London","Unknown","25","25","[c]","[c]"
"In post","2021","Outside London","Female","204715","182785","29730","27570"
"In post","2021","Outside London","Male","170720","164630","32380","28130"
"In post","2021","Outside London","Unknown","30","30","30550","29540"
"In post","2021","Overseas","Female","1500","1490","49160","46620"
"In post","2021","Overseas","Male","2255","2250","50540","50430"
"In post","2021","Unknown","Female","1200","1130","33020","29250"
"In post","2021","Unknown","Male","2530","2515","36930","32700"
"Leaver CS","2021","London","Female","2720","[c]","39200","31620"
"Leaver CS","2021","London","Male","2520","[c]","43200","35070"
"Leaver CS","2021","London","Unknown","80","[c]","46580","40340"
"Leaver CS","2021","Outside London","Female","11500","[c]","28170","24250"
"Leaver CS","2021","Outside London","Male","10150","[c]","31730","27570"
"Leaver CS","2021","Outside London","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","70","[c]","38340","36960"
"Leaver CS","2021","Overseas","Male","65","[c]","47060","43210"
"Leaver CS","2021","Unknown","Female","330","[c]","38110","28000"
"Leaver CS","2021","Unknown","Male","365","[c]","41480","32700"
"Leaver Dept.","2021","London","Female","2930","[c]","44060","38820"
"Leaver Dept.","2021","London","Male","2390","[c]","44330","39100"
"Leaver Dept.","2021","London","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","Female","3240","[c]","30540","27570"
"Leaver Dept.","2021","Outside London","Male","2570","[c]","31900","27570"
"Leaver Dept.","2021","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Female","55","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Male","65","[c]","52710","53400"
"Leaver Dept.","2021","Unknown","Female","385","[c]","34820","32000"
"Leaver Dept.","2021","Unknown","Male","320","[c]","36500","32000"
"New entrant CS","2021","London","Female","8685","[c]","34490","31060"
"New entrant CS","2021","London","Male","6395","[c]","37130","31460"
"New entrant CS","2021","London","Unknown","35","[c]","38680","39030"
"New entrant CS","2021","Outside London","Female","22445","[c]","26600","24920"
"New entrant CS","2021","Outside London","Male","18670","[c]","27780","25560"
"New entrant CS","2021","Outside London","Unknown","30","[c]","31300","29540"
"New entrant CS","2021","Overseas","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","520","[c]","30920","27570"
"New entrant CS","2021","Unknown","Male","375","[c]","34750","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
