"Status","Year","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","70","65","31480","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","35","35","30800","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Female","225","205","27140","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Male","130","125","30610","26520"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Female","390","370","43210","38420"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Male","320","315","44950","38340"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Female","40","35","31300","23790"
"In post","2021","Declared disabled","Companies House","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Female","70","65","36130","32630"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Male","35","35","40360","34150"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Female","485","435","41180","34480"
"In post","2021","Declared disabled","Crown Prosecution Service","Male","235","230","44290","45530"
"In post","2021","Declared disabled","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Female","430","405","33890","32040"
"In post","2021","Declared disabled","Defence Equipment and Support","Male","655","640","36500","34450"
"In post","2021","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Female","195","180","37050","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Male","270","265","38620","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","255","245","46900","41660"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","215","215","46810","40220"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Female","70","70","46980","39190"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Male","45","45","47120","42020"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Female","325","305","41790","37100"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Male","195","195","41870","36960"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","335","320","40050","36970"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","255","250","40900","36970"
