"Status","Year","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","EO","1770","1665","26680","26670"
"In post","2021","Human Resources","G6","480","470","66730","65500"
"In post","2021","Human Resources","G7","1415","1370","54770","54070"
"In post","2021","Human Resources","HEO","2260","2160","32940","32640"
"In post","2021","Human Resources","SCS level","225","220","89150","82130"
"In post","2021","Human Resources","SEO","1590","1525","41290","40580"
"In post","2021","Human Resources","Unknown","235","220","37670","32710"
"In post","2021","Internal Audit","AO","25","20","28850","31650"
"In post","2021","Internal Audit","EO","50","45","28350","26930"
"In post","2021","Internal Audit","G6","75","70","67230","65360"
"In post","2021","Internal Audit","G7","130","125","54260","54130"
"In post","2021","Internal Audit","HEO","165","160","34200","33550"
"In post","2021","Internal Audit","SCS level","25","25","90340","87740"
"In post","2021","Internal Audit","SEO","300","280","44030","43110"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA","310","260","20080","20070"
"In post","2021","Legal","AO","2275","2070","22360","22820"
"In post","2021","Legal","EO","2445","2270","28050","28430"
"In post","2021","Legal","G6","1385","1295","69960","68320"
"In post","2021","Legal","G7","4640","4275","56340","55610"
"In post","2021","Legal","HEO","1650","1590","34040","33310"
"In post","2021","Legal","SCS level","460","445","88840","82950"
"In post","2021","Legal","SEO","1670","1520","42960","41990"
"In post","2021","Legal","Unknown","10","10","44040","48370"
"In post","2021","No function","AA","10605","9315","20060","20600"
"In post","2021","No function","AO","59905","54480","23630","21590"
"In post","2021","No function","EO","33120","31090","28210","27130"
"In post","2021","No function","G6","5520","5300","68110","65950"
"In post","2021","No function","G7","15560","15090","54830","53430"
"In post","2021","No function","HEO","29225","28025","33490","32650"
"In post","2021","No function","SCS level","2955","2820","90490","81600"
"In post","2021","No function","SEO","16030","15380","42410","40420"
"In post","2021","No function","Unknown","12010","11095","29880","28330"
"In post","2021","Project Delivery","AA","60","60","18300","18730"
"In post","2021","Project Delivery","AO","555","515","22030","21490"
"In post","2021","Project Delivery","EO","4610","4385","24860","25750"
"In post","2021","Project Delivery","G6","2140","2080","67160","66420"
"In post","2021","Project Delivery","G7","5235","5105","53380","53600"
"In post","2021","Project Delivery","HEO","6875","6630","32270","32800"
"In post","2021","Project Delivery","SCS level","695","675","91540","83350"
"In post","2021","Project Delivery","SEO","6875","6650","40430","40580"
"In post","2021","Project Delivery","Unknown","1355","1335","42310","40180"
"In post","2021","Property","AA","820","780","18510","18760"
"In post","2021","Property","AO","1530","1425","23120","21250"
"In post","2021","Property","EO","1955","1840","27450","26670"
"In post","2021","Property","G6","290","290","66710","65390"
"In post","2021","Property","G7","965","940","54790","54570"
"In post","2021","Property","HEO","1985","1915","33440","33300"
"In post","2021","Property","SCS level","85","85","93150","83310"
"In post","2021","Property","SEO","1635","1565","41950","41340"
"In post","2021","Property","Unknown","40","40","28030","21600"
"In post","2021","Security","AA","2355","2300","20060","19560"
"In post","2021","Security","AO","3160","3095","31670","30890"
"In post","2021","Security","EO","1180","1155","32330","27870"
"In post","2021","Security","G6","85","85","71850","69820"
"In post","2021","Security","G7","295","290","56930","54700"
"In post","2021","Security","HEO","1065","1040","36320","34220"
"In post","2021","Security","SCS level","45","45","88530","78810"
"In post","2021","Security","SEO","515","510","45760","42510"
"In post","2021","Security","Unknown","60","55","37050","37170"
"In post","2021","Unknown","AA","4560","4210","20000","19560"
"In post","2021","Unknown","AO","44495","39115","21550","21010"
"In post","2021","Unknown","EO","70095","64025","27890","27570"
"In post","2021","Unknown","G6","3490","3355","69790","69000"
"In post","2021","Unknown","G7","8545","8220","57160","57430"
"In post","2021","Unknown","HEO","19755","18835","34100","33310"
"In post","2021","Unknown","SCS level","1340","1300","90070","83230"
"In post","2021","Unknown","SEO","11965","11520","41800","41950"
"In post","2021","Unknown","Unknown","2470","2460","37740","34460"
"Leaver CS","2021","Analysis","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","AO","95","[c]","21310","19130"
"Leaver CS","2021","Analysis","EO","30","[c]","25680","26410"
"Leaver CS","2021","Analysis","G6","10","[c]","78770","78660"
"Leaver CS","2021","Analysis","G7","35","[c]","57890","57380"
"Leaver CS","2021","Analysis","HEO","55","[c]","31870","31300"
"Leaver CS","2021","Analysis","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO","35","[c]","39490","38590"
"Leaver CS","2021","Commercial","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AO","25","[c]","20800","20920"
"Leaver CS","2021","Commercial","EO","25","[c]","25430","25980"
"Leaver CS","2021","Commercial","G6","30","[c]","78310","70000"
"Leaver CS","2021","Commercial","G7","40","[c]","56580","54700"
"Leaver CS","2021","Commercial","HEO","45","[c]","33420","33670"
"Leaver CS","2021","Commercial","SCS level","30","[c]","99080","95690"
"Leaver CS","2021","Commercial","SEO","55","[c]","41450","40830"
"Leaver CS","2021","Commercial","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AO","30","[c]","20550","20860"
"Leaver CS","2021","Communications","EO","35","[c]","24880","25770"
"Leaver CS","2021","Communications","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G7","35","[c]","55040","54700"
"Leaver CS","2021","Communications","HEO","80","[c]","32440","32730"
"Leaver CS","2021","Communications","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO","45","[c]","41390","40560"
"Leaver CS","2021","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","HEO","20","[c]","35160","34910"
"Leaver CS","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AO","45","[c]","21080","21150"
"Leaver CS","2021","Digital, Data & Technology","EO","80","[c]","27360","26670"
"Leaver CS","2021","Digital, Data & Technology","G6","25","[c]","68870","68720"
"Leaver CS","2021","Digital, Data & Technology","G7","100","[c]","56740","55130"
"Leaver CS","2021","Digital, Data & Technology","HEO","80","[c]","34260","33300"
"Leaver CS","2021","Digital, Data & Technology","SCS level","15","[c]","97920","96280"
"Leaver CS","2021","Digital, Data & Technology","SEO","80","[c]","41540","40580"
"Leaver CS","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AO","25","[c]","21240","21130"
"Leaver CS","2021","Finance","EO","35","[c]","25390","26220"
"Leaver CS","2021","Finance","G6","20","[c]","68060","67480"
"Leaver CS","2021","Finance","G7","35","[c]","60460","57970"
"Leaver CS","2021","Finance","HEO","55","[c]","35360","33700"
"Leaver CS","2021","Finance","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO","45","[c]","43810","42090"
"Leaver CS","2021","Grants Management","AO","45","[c]","20830","21050"
"Leaver CS","2021","Grants Management","EO","25","[c]","25410","25190"
"Leaver CS","2021","Grants Management","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AO","65","[c]","21100","20920"
"Leaver CS","2021","Human Resources","EO","55","[c]","26270","27000"
"Leaver CS","2021","Human Resources","G6","10","[c]","67440","66150"
"Leaver CS","2021","Human Resources","G7","50","[c]","56530","56220"
"Leaver CS","2021","Human Resources","HEO","60","[c]","34060","33270"
"Leaver CS","2021","Human Resources","SCS level","10","[c]","107030","110000"
"Leaver CS","2021","Human Resources","SEO","60","[c]","44100","44040"
"Leaver CS","2021","Human Resources","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA","25","[c]","20070","20070"
"Leaver CS","2021","Legal","AO","125","[c]","22460","22820"
"Leaver CS","2021","Legal","EO","90","[c]","26730","26830"
"Leaver CS","2021","Legal","G6","50","[c]","71080","72260"
"Leaver CS","2021","Legal","G7","205","[c]","56110","55610"
"Leaver CS","2021","Legal","HEO","45","[c]","33350","33840"
"Leaver CS","2021","Legal","SCS level","25","[c]","95360","89210"
"Leaver CS","2021","Legal","SEO","110","[c]","43480","43680"
"Leaver CS","2021","No function","AA","1150","[c]","17850","17430"
"Leaver CS","2021","No function","AO","3970","[c]","21170","20850"
"Leaver CS","2021","No function","EO","1215","[c]","27150","26700"
"Leaver CS","2021","No function","G6","160","[c]","71600","69740"
"Leaver CS","2021","No function","G7","435","[c]","56080","54230"
"Leaver CS","2021","No function","HEO","835","[c]","32920","32650"
"Leaver CS","2021","No function","SCS level","145","[c]","106280","104580"
"Leaver CS","2021","No function","SEO","580","[c]","42310","40720"
"Leaver CS","2021","No function","Unknown","660","[c]","34040","37170"
"Leaver CS","2021","Project Delivery","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AO","40","[c]","21790","21790"
"Leaver CS","2021","Project Delivery","EO","200","[c]","22340","21950"
"Leaver CS","2021","Project Delivery","G6","40","[c]","69970","70010"
"Leaver CS","2021","Project Delivery","G7","100","[c]","54290","54540"
"Leaver CS","2021","Project Delivery","HEO","205","[c]","32000","32430"
"Leaver CS","2021","Project Delivery","SCS level","25","[c]","96100","89530"
"Leaver CS","2021","Project Delivery","SEO","190","[c]","41130","40800"
"Leaver CS","2021","Project Delivery","Unknown","40","[c]","41280","39860"
"Leaver CS","2021","Property","AA","95","[c]","18920","18800"
"Leaver CS","2021","Property","AO","90","[c]","23020","21370"
"Leaver CS","2021","Property","EO","160","[c]","26510","26000"
"Leaver CS","2021","Property","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Property","G7","40","[c]","56950","57130"
"Leaver CS","2021","Property","HEO","80","[c]","33790","33300"
"Leaver CS","2021","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO","80","[c]","43130","43080"
"Leaver CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA","125","[c]","19980","19560"
"Leaver CS","2021","Security","AO","200","[c]","31930","34390"
"Leaver CS","2021","Security","EO","50","[c]","31680","27500"
"Leaver CS","2021","Security","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Security","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Security","HEO","35","[c]","37690","33470"
"Leaver CS","2021","Security","SEO","10","[c]","43100","41950"
"Leaver CS","2021","Unknown","AA","535","[c]","19940","19560"
"Leaver CS","2021","Unknown","AO","5175","[c]","21380","21010"
"Leaver CS","2021","Unknown","EO","4165","[c]","27960","27570"
"Leaver CS","2021","Unknown","G6","355","[c]","71970","70880"
"Leaver CS","2021","Unknown","G7","670","[c]","55700","54760"
"Leaver CS","2021","Unknown","HEO","1720","[c]","34070","33810"
"Leaver CS","2021","Unknown","SCS level","175","[c]","89500","83900"
"Leaver CS","2021","Unknown","SEO","905","[c]","41250","40670"
"Leaver CS","2021","Unknown","Unknown","540","[c]","35090","32700"
"Leaver Dept.","2021","Analysis","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","EO","30","[c]","27510","27500"
"Leaver Dept.","2021","Analysis","G6","15","[c]","66250","64990"
"Leaver Dept.","2021","Analysis","G7","70","[c]","56260","55720"
"Leaver Dept.","2021","Analysis","HEO","115","[c]","32910","32830"
"Leaver Dept.","2021","Analysis","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","SEO","35","[c]","41740","41550"
"Leaver Dept.","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","EO","25","[c]","26310","26380"
"Leaver Dept.","2021","Commercial","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","G7","40","[c]","51940","51710"
"Leaver Dept.","2021","Commercial","HEO","30","[c]","32350","32520"
"Leaver Dept.","2021","Commercial","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","SEO","45","[c]","41180","42080"
"Leaver Dept.","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","EO","35","[c]","26450","26410"
"Leaver Dept.","2021","Communications","G6","10","[c]","70520","70050"
"Leaver Dept.","2021","Communications","G7","40","[c]","53850","53250"
"Leaver Dept.","2021","Communications","HEO","60","[c]","33480","33210"
"Leaver Dept.","2021","Communications","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","SEO","55","[c]","41500","40850"
"Leaver Dept.","2021","Counter Fraud","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","HEO","15","[c]","32820","32910"
"Leaver Dept.","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","EO","35","[c]","26620","26680"
"Leaver Dept.","2021","Digital, Data & Technology","G6","25","[c]","70090","68010"
"Leaver Dept.","2021","Digital, Data & Technology","G7","60","[c]","55180","54580"
"Leaver Dept.","2021","Digital, Data & Technology","HEO","50","[c]","33260","32910"
"Leaver Dept.","2021","Digital, Data & Technology","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","SEO","45","[c]","40720","40580"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","EO","30","[c]","26330","26300"
"Leaver Dept.","2021","Finance","G6","10","[c]","68320","67220"
"Leaver Dept.","2021","Finance","G7","55","[c]","57750","57490"
"Leaver Dept.","2021","Finance","HEO","35","[c]","33480","33780"
"Leaver Dept.","2021","Finance","SCS level","15","[c]","85310","77490"
"Leaver Dept.","2021","Finance","SEO","50","[c]","42540","42510"
"Leaver Dept.","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","AO","20","[c]","20910","21050"
"Leaver Dept.","2021","Grants Management","EO","15","[c]","25180","25100"
"Leaver Dept.","2021","Grants Management","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","AO","60","[c]","21080","20800"
"Leaver Dept.","2021","Human Resources","EO","80","[c]","26460","26380"
"Leaver Dept.","2021","Human Resources","G6","20","[c]","64490","64220"
"Leaver Dept.","2021","Human Resources","G7","85","[c]","55540","55650"
"Leaver Dept.","2021","Human Resources","HEO","135","[c]","32220","32000"
"Leaver Dept.","2021","Human Resources","SCS level","15","[c]","82130","75920"
"Leaver Dept.","2021","Human Resources","SEO","75","[c]","41750","40540"
"Leaver Dept.","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","AO","40","[c]","22940","22820"
"Leaver Dept.","2021","Legal","EO","40","[c]","26880","27150"
"Leaver Dept.","2021","Legal","G6","30","[c]","67470","65670"
"Leaver Dept.","2021","Legal","G7","60","[c]","54650","52610"
"Leaver Dept.","2021","Legal","HEO","25","[c]","33250","32080"
"Leaver Dept.","2021","Legal","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","SEO","20","[c]","38720","38290"
"Leaver Dept.","2021","No function","AA","65","[c]","18100","17540"
"Leaver Dept.","2021","No function","AO","615","[c]","20800","20430"
"Leaver Dept.","2021","No function","EO","505","[c]","26080","26410"
"Leaver Dept.","2021","No function","G6","185","[c]","64210","64140"
"Leaver Dept.","2021","No function","G7","650","[c]","53600","53380"
"Leaver Dept.","2021","No function","HEO","1370","[c]","32240","32000"
"Leaver Dept.","2021","No function","SCS level","135","[c]","88340","77730"
"Leaver Dept.","2021","No function","SEO","395","[c]","39680","39250"
"Leaver Dept.","2021","No function","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","EO","85","[c]","24110","24500"
"Leaver Dept.","2021","Project Delivery","G6","30","[c]","68260","67710"
"Leaver Dept.","2021","Project Delivery","G7","110","[c]","53790","53760"
"Leaver Dept.","2021","Project Delivery","HEO","165","[c]","31350","31950"
"Leaver Dept.","2021","Project Delivery","SCS level","20","[c]","85260","82510"
"Leaver Dept.","2021","Project Delivery","SEO","100","[c]","39510","39960"
"Leaver Dept.","2021","Project Delivery","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","AO","30","[c]","20930","21100"
"Leaver Dept.","2021","Property","EO","20","[c]","25670","25860"
"Leaver Dept.","2021","Property","G6","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","G7","15","[c]","56770","55860"
"Leaver Dept.","2021","Property","HEO","30","[c]","32440","32910"
"Leaver Dept.","2021","Property","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","SEO","15","[c]","39760","40910"
"Leaver Dept.","2021","Security","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AO","15","[c]","23640","20640"
"Leaver Dept.","2021","Security","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","HEO","25","[c]","33550","33300"
"Leaver Dept.","2021","Security","SEO","10","[c]","41140","40830"
"Leaver Dept.","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA","15","[c]","19840","19560"
"Leaver Dept.","2021","Unknown","AO","1245","[c]","21390","21010"
"Leaver Dept.","2021","Unknown","EO","1490","[c]","27490","27570"
"Leaver Dept.","2021","Unknown","G6","210","[c]","66440","66560"
"Leaver Dept.","2021","Unknown","G7","550","[c]","54740","54760"
"Leaver Dept.","2021","Unknown","HEO","1040","[c]","33150","33300"
"Leaver Dept.","2021","Unknown","SCS level","115","[c]","88510","79680"
"Leaver Dept.","2021","Unknown","SEO","590","[c]","40390","40640"
"Leaver Dept.","2021","Unknown","Unknown","115","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AA","5","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AO","110","[c]","21400","21000"
"New entrant CS","2021","Analysis","EO","195","[c]","26410","26250"
"New entrant CS","2021","Analysis","G6","35","[c]","68620","66230"
"New entrant CS","2021","Analysis","G7","85","[c]","54490","53360"
"New entrant CS","2021","Analysis","HEO","645","[c]","32380","32540"
"New entrant CS","2021","Analysis","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO","135","[c]","39570","39030"
"New entrant CS","2021","Commercial","AA","5","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AO","70","[c]","21290","20920"
"New entrant CS","2021","Commercial","EO","105","[c]","25710","26350"
"New entrant CS","2021","Commercial","G6","55","[c]","85090","89250"
"New entrant CS","2021","Commercial","G7","70","[c]","55440","54700"
"New entrant CS","2021","Commercial","HEO","110","[c]","32010","32730"
"New entrant CS","2021","Commercial","SCS level","160","[c]","82010","71000"
"New entrant CS","2021","Commercial","SEO","165","[c]","40540","40400"
"New entrant CS","2021","Commercial","Unknown","35","[c]","35040","26670"
"New entrant CS","2021","Communications","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AO","65","[c]","22000","22160"
"New entrant CS","2021","Communications","EO","770","[c]","25670","25560"
"New entrant CS","2021","Communications","G6","25","[c]","66790","66270"
"New entrant CS","2021","Communications","G7","55","[c]","54130","54110"
"New entrant CS","2021","Communications","HEO","290","[c]","32620","31810"
"New entrant CS","2021","Communications","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO","90","[c]","41660","40990"
"New entrant CS","2021","Counter Fraud","AO","10","[c]","20980","20140"
"New entrant CS","2021","Counter Fraud","EO","105","[c]","26300","25560"
"New entrant CS","2021","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","HEO","65","[c]","32610","31810"
"New entrant CS","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Debt","AO","940","[c]","20320","20140"
"New entrant CS","2021","Debt","EO","30","[c]","25510","25560"
"New entrant CS","2021","Debt","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA","15","[c]","21300","21040"
"New entrant CS","2021","Digital, Data & Technology","AO","85","[c]","21430","20920"
"New entrant CS","2021","Digital, Data & Technology","EO","385","[c]","26400","26130"
"New entrant CS","2021","Digital, Data & Technology","G6","60","[c]","69550","68000"
"New entrant CS","2021","Digital, Data & Technology","G7","425","[c]","55640","54700"
"New entrant CS","2021","Digital, Data & Technology","HEO","430","[c]","32500","31810"
"New entrant CS","2021","Digital, Data & Technology","SCS level","25","[c]","96860","91320"
"New entrant CS","2021","Digital, Data & Technology","SEO","425","[c]","40330","39400"
"New entrant CS","2021","Digital, Data & Technology","Unknown","15","[c]","37950","38180"
"New entrant CS","2021","Finance","AA","15","[c]","18960","18200"
"New entrant CS","2021","Finance","AO","90","[c]","20760","20270"
"New entrant CS","2021","Finance","EO","180","[c]","24760","25000"
"New entrant CS","2021","Finance","G6","20","[c]","69970","68850"
"New entrant CS","2021","Finance","G7","70","[c]","55400","55000"
"New entrant CS","2021","Finance","HEO","205","[c]","33040","32790"
"New entrant CS","2021","Finance","SCS level","15","[c]","94640","90000"
