"Status","Year","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","905","840","42470","40800"
"In post","2021","Asian","Cabinet Office","470","460","45860","40600"
"In post","2021","Asian","Chancellor's other departments","45","45","45860","41210"
"In post","2021","Asian","Charity Commission","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","105","105","46180","37680"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","715","695","39340","35150"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","125","125","46630","42110"
"In post","2021","Asian","Department for Education","710","690","39700","36780"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","355","340","36050","32560"
"In post","2021","Asian","Department for International Trade","210","205","42710","38540"
"In post","2021","Asian","Department for Transport","525","505","40110","35060"
"In post","2021","Asian","Department for Work and Pensions","7400","6670","27910","27570"
"In post","2021","Asian","Department of Health and Social Care","1150","1090","42210","33350"
"In post","2021","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","50","50","38640","32830"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","475","465","42700","37270"
"In post","2021","Asian","HM Land Registry","210","190","30840","27130"
"In post","2021","Asian","HM Revenue and Customs","4390","4100","30950","29570"
"In post","2021","Asian","HM Treasury","275","270","44940","39920"
"In post","2021","Asian","Home Office","4495","4160","31280","28810"
"In post","2021","Asian","Ministry of Defence","1340","1300","34330","31950"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","225","220","41030","36340"
"In post","2021","Asian","Ministry of Justice","3945","3660","28550","24440"
"In post","2021","Asian","National Crime Agency","240","235","36250","36200"
"In post","2021","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","100","95","40850","35010"
"In post","2021","Asian","Office of Gas and Electricity Markets","105","100","44120","39050"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","25","25","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","20","20","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","30","30","42610","34800"
"In post","2021","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","180","170","36360","33100"
"In post","2021","Asian","The National Archives","45","40","33000","30960"
"In post","2021","Asian","UK Export Finance","65","60","49250","42240"
"In post","2021","Asian","UK Supreme Court","5","5","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","130","120","30310","29540"
"In post","2021","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","25","25","[c]","[c]"
"In post","2021","Asian","Welsh Government","50","50","37770","34490"
"In post","2021","Black","Attorney General's Departments","555","530","40370","32410"
"In post","2021","Black","Cabinet Office","255","255","41960","35590"
"In post","2021","Black","Chancellor's other departments","20","20","[c]","[c]"
"In post","2021","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","40","40","42370","41790"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","395","395","38370","34620"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","85","85","40910","34020"
"In post","2021","Black","Department for Education","290","290","39880","36780"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","205","200","35230","32560"
"In post","2021","Black","Department for International Trade","125","125","38750","35560"
"In post","2021","Black","Department for Transport","245","240","37040","35060"
"In post","2021","Black","Department for Work and Pensions","3890","3675","29220","30130"
"In post","2021","Black","Department of Health and Social Care","680","640","39590","33060"
"In post","2021","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","50","50","34660","32830"
"In post","2021","Black","Foreign, Commonwealth and Development Office","260","260","38450","35030"
"In post","2021","Black","HM Land Registry","65","60","32480","30600"
"In post","2021","Black","HM Revenue and Customs","1465","1405","32110","30430"
"In post","2021","Black","HM Treasury","100","100","38080","32960"
"In post","2021","Black","Home Office","1890","1780","32540","29080"
"In post","2021","Black","Ministry of Defence","755","745","32750","30750"
"In post","2021","Black","Ministry of Housing, Communities and Local Government","155","155","40630","37460"
"In post","2021","Black","Ministry of Justice","3600","3470","29990","27490"
"In post","2021","Black","National Crime Agency","100","100","36660","36200"
"In post","2021","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Standards in Education","60","55","44520","44610"
"In post","2021","Black","Office of Gas and Electricity Markets","55","55","43040","39550"
"In post","2021","Black","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2021","Black","Office of Rail and Road","20","20","[c]","[c]"
"In post","2021","Black","Other Cabinet Office Agencies","15","15","[c]","[c]"
"In post","2021","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Government","65","60","37900","32140"
"In post","2021","Black","The National Archives","5","5","[c]","[c]"
"In post","2021","Black","UK Export Finance","30","30","45430","38410"
"In post","2021","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","United Kingdom Statistics Authority","70","60","30210","29540"
"In post","2021","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2021","Black","Welsh Government","15","15","[c]","[c]"
"In post","2021","Chinese","Attorney General's Departments","45","45","42800","42090"
"In post","2021","Chinese","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Chinese","Chancellor's other departments","5","5","[c]","[c]"
"In post","2021","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","Chinese","Department for Business, Energy and Industrial Strategy","60","55","41360","40050"
"In post","2021","Chinese","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Chinese","Department for Education","35","35","42020","36960"
"In post","2021","Chinese","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2021","Chinese","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Chinese","Department for Transport","35","35","41760","35980"
"In post","2021","Chinese","Department for Work and Pensions","155","140","28630","27570"
"In post","2021","Chinese","Department of Health and Social Care","90","85","49190","42190"
"In post","2021","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","Chinese","Foreign, Commonwealth and Development Office","40","35","38690","35690"
"In post","2021","Chinese","HM Land Registry","5","5","[c]","[c]"
"In post","2021","Chinese","HM Revenue and Customs","180","175","34270","29570"
"In post","2021","Chinese","HM Treasury","20","20","[c]","[c]"
"In post","2021","Chinese","Home Office","150","140","31790","28980"
"In post","2021","Chinese","Ministry of Defence","80","75","33310","30440"
"In post","2021","Chinese","Ministry of Housing, Communities and Local Government","15","15","[c]","[c]"
"In post","2021","Chinese","Ministry of Justice","140","130","30990","26830"
"In post","2021","Chinese","National Crime Agency","10","10","[c]","[c]"
"In post","2021","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
