"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","London","Female","155","150","45720","42020"
"In post","2021","Asian","Analysis","London","Male","165","165","44880","41760"
"In post","2021","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","Female","50","45","35530","32010"
"In post","2021","Asian","Analysis","Outside London","Male","55","50","35130","31810"
"In post","2021","Asian","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Female","80","80","42330","35560"
"In post","2021","Asian","Commercial","London","Male","70","70","48310","40650"
"In post","2021","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","Female","55","55","35960","33880"
"In post","2021","Asian","Commercial","Outside London","Male","65","65","37450","35570"
"In post","2021","Asian","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Female","105","100","41270","35290"
"In post","2021","Asian","Communications","London","Male","100","95","34200","32520"
"In post","2021","Asian","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Female","110","105","30570","25780"
"In post","2021","Asian","Communications","Outside London","Male","195","195","28650","25560"
"In post","2021","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Female","130","120","34450","32520"
"In post","2021","Asian","Counter Fraud","London","Male","140","135","36640","33830"
"In post","2021","Asian","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","Female","155","145","28980","25560"
"In post","2021","Asian","Counter Fraud","Outside London","Male","185","180","30510","31810"
"In post","2021","Asian","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","London","Female","95","80","26290","25630"
"In post","2021","Asian","Debt","London","Male","40","35","29820","25630"
"In post","2021","Asian","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Outside London","Female","120","100","21620","20140"
"In post","2021","Asian","Debt","Outside London","Male","95","90","21690","20140"
"In post","2021","Asian","Debt","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","Female","175","170","45410","41250"
"In post","2021","Asian","Digital, Data & Technology","London","Male","255","255","45710","41790"
"In post","2021","Asian","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Outside London","Female","150","145","36450","32060"
"In post","2021","Asian","Digital, Data & Technology","Outside London","Male","225","220","36050","32660"
"In post","2021","Asian","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","Female","190","180","41450","36800"
"In post","2021","Asian","Finance","London","Male","210","210","44540","41400"
"In post","2021","Asian","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","Female","175","160","31570","28930"
"In post","2021","Asian","Finance","Outside London","Male","175","170","34040","31000"
"In post","2021","Asian","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Female","215","205","40630","36160"
"In post","2021","Asian","Human Resources","London","Male","60","60","40680","35420"
"In post","2021","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Female","140","130","31740","29360"
"In post","2021","Asian","Human Resources","Outside London","Male","55","50","31050","28130"
"In post","2021","Asian","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Female","20","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Male","25","25","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Female","15","15","[c]","[c]"
