"Status","Year","Disability","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Heterosexual / straight","705","655","44050","40050"
"In post","2021","Declared disabled","Attorney General's Departments","LGBO","70","70","47040","51050"
"In post","2021","Declared disabled","Attorney General's Departments","Undeclared","50","50","48080","50680"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","105","95","43320","42770"
"In post","2021","Declared disabled","Cabinet Office","Heterosexual / straight","525","505","43730","37300"
"In post","2021","Declared disabled","Cabinet Office","LGBO","90","90","44810","40600"
"In post","2021","Declared disabled","Cabinet Office","Undeclared","80","75","44900","40580"
"In post","2021","Declared disabled","Cabinet Office","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","655","625","41430","37820"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","LGBO","125","125","40070","33640"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Undeclared","65","60","40430","35840"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","185","175","34340","32730"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","75","75","48390","39360"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Heterosexual / straight","525","505","41480","37100"
"In post","2021","Declared disabled","Department for Education","LGBO","70","70","39650","33510"
"In post","2021","Declared disabled","Department for Education","Undeclared","60","60","41770","37100"
"In post","2021","Declared disabled","Department for Education","Unknown","55","55","44600","40940"
