"Status","Year","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","3255","3050","42130","37320"
"In post","2021","Analysis","Male","3920","3850","44170","38990"
"In post","2021","Analysis","Unknown","35","35","33970","32540"
"In post","2021","Commercial","Female","3535","3370","43090","38160"
"In post","2021","Commercial","Male","3445","3405","49110","42200"
"In post","2021","Communications","Female","4295","4055","35540","31810"
"In post","2021","Communications","Male","3915","3860","33890","29830"
"In post","2021","Counter Fraud","Female","4520","4120","32380","31810"
"In post","2021","Counter Fraud","Male","5100","4935","35110","31810"
"In post","2021","Debt","Female","2645","2280","23310","21440"
"In post","2021","Debt","Male","2025","1940","23260","20140"
"In post","2021","Digital, Data & Technology","Female","4990","4745","40330","37100"
"In post","2021","Digital, Data & Technology","Male","8595","8460","42260","38630"
"In post","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","5280","4865","36830","32890"
"In post","2021","Finance","Male","4115","4040","42150","38630"
"In post","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","1095","950","25070","21050"
"In post","2021","Grants Management","Male","800","780","26120","24920"
"In post","2021","Human Resources","Female","6680","6240","37220","32840"
"In post","2021","Human Resources","Male","2900","2845","38390","33520"
"In post","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","390","365","43980","41340"
"In post","2021","Internal Audit","Male","375","360","48250","45390"
"In post","2021","Legal","Female","9710","8765","42680","39730"
"In post","2021","Legal","Male","5135","4970","46520","48080"
"In post","2021","No function","Female","99355","90225","31550","27260"
"In post","2021","No function","Male","85570","82365","34380","31650"
"In post","2021","No function","Unknown","10","10","[c]","[c]"
"In post","2021","Project Delivery","Female","12620","11950","40070","36800"
"In post","2021","Project Delivery","Male","15775","15485","42210","39650"
"In post","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","3880","3580","32370","29760"
"In post","2021","Property","Male","5435","5300","35930","33300"
"In post","2021","Security","Female","2060","1985","32040","29200"
"In post","2021","Security","Male","6700","6590","31470","27680"
"In post","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","98365","87055","29790","27570"
"In post","2021","Unknown","Male","68345","65985","32080","27570"
"Leaver CS","2021","Analysis","Female","115","[c]","34390","29050"
"Leaver CS","2021","Analysis","Male","155","[c]","36680","31240"
"Leaver CS","2021","Commercial","Female","120","[c]","45880","37430"
"Leaver CS","2021","Commercial","Male","150","[c]","51610","42080"
"Leaver CS","2021","Communications","Female","130","[c]","36410","34640"
"Leaver CS","2021","Communications","Male","110","[c]","38470","32620"
"Leaver CS","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","140","[c]","41110","37530"
"Leaver CS","2021","Digital, Data & Technology","Male","285","[c]","42410","38700"
"Leaver CS","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","120","[c]","39400","34030"
"Leaver CS","2021","Finance","Male","110","[c]","45510","44160"
"Leaver CS","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","45","[c]","24460","22800"
"Leaver CS","2021","Grants Management","Male","45","[c]","25490","21050"
"Leaver CS","2021","Human Resources","Female","205","[c]","38030","32430"
"Leaver CS","2021","Human Resources","Male","120","[c]","39370","33650"
"Leaver CS","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","390","[c]","42640","40870"
"Leaver CS","2021","Legal","Male","275","[c]","45180","45190"
"Leaver CS","2021","No function","Female","4630","[c]","29730","22790"
"Leaver CS","2021","No function","Male","4515","[c]","34630","27490"
"Leaver CS","2021","No function","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","305","[c]","35240","31340"
"Leaver CS","2021","Project Delivery","Male","540","[c]","39540","36880"
"Leaver CS","2021","Property","Female","190","[c]","28600","24500"
"Leaver CS","2021","Property","Male","365","[c]","32180","28870"
"Leaver CS","2021","Security","Female","75","[c]","29090","24320"
"Leaver CS","2021","Security","Male","355","[c]","30260","26840"
"Leaver CS","2021","Unknown","Female","8120","[c]","28680","26890"
