"Status","Year","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","London","13560","12805","37040","31880"
"In post","2021","Asian","Outside London","15275","14080","28680","26750"
"In post","2021","Asian","Overseas","150","150","46340","41410"
"In post","2021","Asian","Unknown","170","150","29630","27570"
"In post","2021","Black","London","9965","9625","34560","31060"
"In post","2021","Black","Outside London","5505","5215","29440","27570"
"In post","2021","Black","Overseas","65","65","41950","37500"
"In post","2021","Black","Unknown","55","55","30280","29870"
"In post","2021","Chinese","London","600","580","43240","39240"
"In post","2021","Chinese","Outside London","640","600","30850","27570"
"In post","2021","Chinese","Overseas","10","10","[c]","[c]"
"In post","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","London","3405","3295","40840","35590"
"In post","2021","Mixed","Outside London","4725","4435","30860","27570"
"In post","2021","Mixed","Overseas","110","110","48540","48210"
"In post","2021","Mixed","Unknown","30","25","[c]","[c]"
"In post","2021","Other ethnicity","London","1270","1210","41630","35200"
"In post","2021","Other ethnicity","Outside London","1275","1200","31980","27570"
"In post","2021","Other ethnicity","Overseas","35","35","47340","45120"
"In post","2021","Other ethnicity","Unknown","10","10","[c]","[c]"
"In post","2021","Undeclared","London","4660","4440","42060","36650"
"In post","2021","Undeclared","Outside London","15640","14480","32140","28130"
"In post","2021","Undeclared","Overseas","195","195","47080","41620"
"In post","2021","Undeclared","Unknown","55","50","34660","30330"
"In post","2021","Unknown","London","15570","15200","42860","36160"
"In post","2021","Unknown","Outside London","48505","45545","29060","25560"
"In post","2021","Unknown","Overseas","565","565","51740","51500"
"In post","2021","Unknown","Unknown","2440","2430","37020","32700"
"In post","2021","White","London","52895","50845","47090","41950"
"In post","2021","White","Outside London","283910","261885","31340","27570"
"In post","2021","White","Overseas","2620","2610","50320","50430"
"In post","2021","White","Unknown","970","915","33710","27570"
"Leaver CS","2021","Asian","London","595","[c]","33550","29080"
"Leaver CS","2021","Asian","Outside London","585","[c]","28060","23370"
"Leaver CS","2021","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Black","London","350","[c]","32340","27760"
"Leaver CS","2021","Black","Outside London","240","[c]","29650","25590"
"Leaver CS","2021","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","London","30","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","London","160","[c]","36880","32120"
"Leaver CS","2021","Mixed","Outside London","235","[c]","28060","23520"
"Leaver CS","2021","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","London","65","[c]","43770","37910"
"Leaver CS","2021","Other ethnicity","Outside London","70","[c]","31090","27570"
"Leaver CS","2021","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","290","[c]","37480","31100"
"Leaver CS","2021","Undeclared","Outside London","1035","[c]","30380","27370"
"Leaver CS","2021","Undeclared","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","1390","[c]","38730","31060"
"Leaver CS","2021","Unknown","Outside London","4500","[c]","28950","24920"
"Leaver CS","2021","Unknown","Overseas","35","[c]","39430","36960"
"Leaver CS","2021","Unknown","Unknown","625","[c]","40850","32060"
"Leaver CS","2021","White","London","2445","[c]","46000","39910"
"Leaver CS","2021","White","Outside London","14990","[c]","30220","26670"
"Leaver CS","2021","White","Overseas","90","[c]","42660","38690"
"Leaver CS","2021","White","Unknown","50","[c]","39690","27570"
"Leaver Dept.","2021","Asian","London","540","[c]","39490","34560"
"Leaver Dept.","2021","Asian","Outside London","395","[c]","26530","24890"
"Leaver Dept.","2021","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","30","[c]","37830","32320"
"Leaver Dept.","2021","Black","London","315","[c]","36650","33690"
"Leaver Dept.","2021","Black","Outside London","155","[c]","28140","27570"
"Leaver Dept.","2021","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","London","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Outside London","10","[c]","[c]","[c]"
