"Status","Year","Age","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","AA","15","15","20010","19060"
"In post","2021","16-19","London","AO","50","50","23810","23520"
"In post","2021","16-19","London","EO","85","80","26450","26410"
"In post","2021","16-19","London","HEO","5","5","[c]","[c]"
"In post","2021","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","AA","195","185","19220","19560"
"In post","2021","16-19","Outside London","AO","685","660","21050","21010"
"In post","2021","16-19","Outside London","EO","215","215","21710","20230"
"In post","2021","16-19","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","35","35","18740","18460"
"In post","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","London","AA","260","250","21750","22210"
"In post","2021","20-29","London","AO","2395","2365","26060","25110"
"In post","2021","20-29","London","EO","5465","5415","29180","28810"
"In post","2021","20-29","London","G6","250","250","65080","64650"
"In post","2021","20-29","London","G7","3150","3140","54510","53760"
"In post","2021","20-29","London","HEO","8230","8205","33810","33570"
"In post","2021","20-29","London","SCS level","35","35","72130","71170"
"In post","2021","20-29","London","SEO","2855","2845","41040","40600"
"In post","2021","20-29","London","Unknown","355","355","28830","26810"
"In post","2021","20-29","Outside London","AA","2545","2455","19900","20310"
"In post","2021","20-29","Outside London","AO","21210","20615","22390","21050"
"In post","2021","20-29","Outside London","EO","16025","15830","26290","26330"
"In post","2021","20-29","Outside London","G6","40","40","62010","62400"
"In post","2021","20-29","Outside London","G7","850","845","50870","52030"
"In post","2021","20-29","Outside London","HEO","7790","7735","30970","31580"
"In post","2021","20-29","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","20-29","Outside London","SEO","2530","2515","38210","37920"
"In post","2021","20-29","Outside London","Unknown","2220","2175","25420","23010"
"In post","2021","20-29","Overseas","AO","5","5","[c]","[c]"
"In post","2021","20-29","Overseas","EO","20","20","27770","26670"
"In post","2021","20-29","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","G7","40","40","52910","52820"
"In post","2021","20-29","Overseas","HEO","190","190","34570","33860"
"In post","2021","20-29","Overseas","SEO","35","35","42650","42060"
"In post","2021","20-29","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","AO","45","45","21460","21010"
"In post","2021","20-29","Unknown","EO","100","95","27360","27570"
"In post","2021","20-29","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G7","20","20","54010","54700"
"In post","2021","20-29","Unknown","HEO","330","330","30610","30410"
"In post","2021","20-29","Unknown","SEO","25","25","39200","40000"
"In post","2021","20-29","Unknown","Unknown","375","375","28960","28980"
"In post","2021","30-39","London","AA","240","225","22480","22210"
"In post","2021","30-39","London","AO","1715","1605","27280","25630"
"In post","2021","30-39","London","EO","3860","3695","29950","29570"
"In post","2021","30-39","London","G6","2665","2590","67500","66230"
"In post","2021","30-39","London","G7","6780","6600","55770","54700"
"In post","2021","30-39","London","HEO","4010","3925","35320","35070"
"In post","2021","30-39","London","SCS level","935","905","79220","74840"
"In post","2021","30-39","London","SEO","3720","3645","42240","41810"
"In post","2021","30-39","London","Unknown","390","375","32600","34100"
"In post","2021","30-39","Outside London","AA","2295","2080","19880","20060"
"In post","2021","30-39","Outside London","AO","21540","19555","22740","21050"
"In post","2021","30-39","Outside London","EO","21625","20425","27040","27380"
"In post","2021","30-39","Outside London","G6","995","970","65140","64670"
"In post","2021","30-39","Outside London","G7","5560","5390","52300","52280"
"In post","2021","30-39","Outside London","HEO","13235","12760","32240","31810"
"In post","2021","30-39","Outside London","SCS level","195","190","78860","75110"
"In post","2021","30-39","Outside London","SEO","8815","8540","40040","38650"
"In post","2021","30-39","Outside London","Unknown","2985","2760","30500","30210"
"In post","2021","30-39","Overseas","AO","5","5","[c]","[c]"
"In post","2021","30-39","Overseas","EO","50","50","27410","26670"
"In post","2021","30-39","Overseas","G6","90","90","64590","64380"
"In post","2021","30-39","Overseas","G7","375","375","54670","54470"
"In post","2021","30-39","Overseas","HEO","325","325","36240","34260"
"In post","2021","30-39","Overseas","SCS level","25","25","75920","73410"
