"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","AA","Female","15","10","[c]","[c]"
"In post","2021","16-19","Department for Transport","AA","Male","10","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Transport","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","AO","Female","95","95","21190","21010"
"In post","2021","16-19","Department for Work and Pensions","AO","Male","65","65","21250","21010"
"In post","2021","16-19","Department for Work and Pensions","EO","Female","25","25","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","EO","Male","15","15","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AA","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AO","Female","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA","Male","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AO","Female","5","5","[c]","[c]"
