"Status","Year","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Heterosexual / straight","50","45","32060","29190"
"In post","2021","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Heterosexual / straight","30","30","33800","29190"
"In post","2021","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","375","340","33780","31240"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Undeclared","70","60","32710","33070"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Unknown","150","140","27980","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","255","240","36290","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Undeclared","60","55","38220","38590"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Unknown","105","105","29210","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Heterosexual / straight","1175","1090","29310","25520"
"In post","2021","Animal and Plant Health Agency","Female","LGBO","65","65","26970","24920"
"In post","2021","Animal and Plant Health Agency","Female","Undeclared","180","170","31850","29180"
"In post","2021","Animal and Plant Health Agency","Female","Unknown","185","165","29860","25750"
"In post","2021","Animal and Plant Health Agency","Male","Heterosexual / straight","705","690","32350","29180"
