"Status","Year","Age","Disability","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Female","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Declared disabled","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Female","Heterosexual / straight","325","315","22030","21010"
"In post","2021","16-19","Declared non-disabled","Female","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Female","Undeclared","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Female","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Male","Heterosexual / straight","285","275","21310","21010"
"In post","2021","16-19","Declared non-disabled","Male","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Male","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Female","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Heterosexual / straight","30","30","21900","21950"
"In post","2021","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Unknown","220","210","20750","20140"
"In post","2021","16-19","Unknown","Male","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Unknown","265","255","20250","20140"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Female","Heterosexual / straight","2005","1955","29000","27570"
"In post","2021","20-29","Declared disabled","Female","LGBO","650","635","28610","27570"
"In post","2021","20-29","Declared disabled","Female","Undeclared","180","175","29550","27570"
"In post","2021","20-29","Declared disabled","Female","Unknown","100","95","28990","27570"
"In post","2021","20-29","Declared disabled","Male","Heterosexual / straight","1395","1380","28780","27570"
"In post","2021","20-29","Declared disabled","Male","LGBO","370","365","29550","27570"
"In post","2021","20-29","Declared disabled","Male","Undeclared","155","155","29360","27570"
"In post","2021","20-29","Declared disabled","Male","Unknown","80","80","27910","27540"
"In post","2021","20-29","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Female","Heterosexual / straight","21465","21000","28990","27570"
"In post","2021","20-29","Declared non-disabled","Female","LGBO","1930","1910","29050","27570"
"In post","2021","20-29","Declared non-disabled","Female","Undeclared","1240","1215","30000","27570"
"In post","2021","20-29","Declared non-disabled","Female","Unknown","1005","975","28430","27570"
"In post","2021","20-29","Declared non-disabled","Male","Heterosexual / straight","17225","17110","29260","27570"
"In post","2021","20-29","Declared non-disabled","Male","LGBO","1745","1730","31300","28000"
"In post","2021","20-29","Declared non-disabled","Male","Undeclared","940","930","31010","28670"
"In post","2021","20-29","Declared non-disabled","Male","Unknown","945","940","28150","27570"
"In post","2021","20-29","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
