"Status","Year","Age","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AO","Heterosexual / straight","40","35","21190","21010"
"In post","2021","16-19","Asian","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Asian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Black","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Black","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA","Undeclared","[c]","[c]","[c]","[c]"
