"Status","Year","Disability","Ethnicity","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","Female","50","45","30560","27570"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","40","35","28280","27570"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","Female","45","40","28900","27570"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","Male","35","30","31280","31810"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
