"Status","Year","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","23725","22330","32900","29290"
"In post","2021","Asian","LGBO","585","545","33200","29290"
"In post","2021","Asian","Undeclared","1655","1495","30860","27570"
"In post","2021","Asian","Unknown","3190","2820","31610","27570"
"In post","2021","Black","Heterosexual / straight","12945","12490","32830","30720"
"In post","2021","Black","LGBO","330","320","33960","30250"
"In post","2021","Black","Undeclared","780","735","32130","29650"
"In post","2021","Black","Unknown","1540","1425","32290","31060"
"In post","2021","Chinese","Heterosexual / straight","935","895","36470","31870"
"In post","2021","Chinese","LGBO","70","65","35870","30930"
"In post","2021","Chinese","Undeclared","100","95","37430","35000"
"In post","2021","Chinese","Unknown","145","135","39040","33310"
"In post","2021","Mixed","Heterosexual / straight","6390","6095","35210","31060"
"In post","2021","Mixed","LGBO","690","670","35630","31060"
"In post","2021","Mixed","Undeclared","575","540","34510","30650"
"In post","2021","Mixed","Unknown","610","560","35500","31650"
"In post","2021","Other ethnicity","Heterosexual / straight","1820","1735","36090","31060"
"In post","2021","Other ethnicity","LGBO","170","165","36730","31810"
"In post","2021","Other ethnicity","Undeclared","310","295","42180","35980"
"In post","2021","Other ethnicity","Unknown","290","260","36440","31650"
"In post","2021","Undeclared","Heterosexual / straight","2880","2710","32960","29200"
"In post","2021","Undeclared","LGBO","290","280","33690","29350"
"In post","2021","Undeclared","Undeclared","13230","12480","35460","31810"
"In post","2021","Undeclared","Unknown","4150","3700","32700","28130"
"In post","2021","Unknown","Heterosexual / straight","3260","3005","33440","28620"
"In post","2021","Unknown","LGBO","230","220","36690","31060"
"In post","2021","Unknown","Undeclared","3060","2810","30600","28130"
"In post","2021","Unknown","Unknown","60525","57705","32800","28000"
"In post","2021","White","Heterosexual / straight","265025","247500","34170","29290"
"In post","2021","White","LGBO","16460","16005","34370","29670"
"In post","2021","White","Undeclared","23960","21865","33210","28130"
"In post","2021","White","Unknown","34955","30885","32420","27570"
"Leaver CS","2021","Asian","Heterosexual / straight","765","[c]","30370","26980"
"Leaver CS","2021","Asian","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","65","[c]","35670","27570"
"Leaver CS","2021","Asian","Unknown","335","[c]","31960","25620"
"Leaver CS","2021","Black","Heterosexual / straight","445","[c]","31770","27310"
"Leaver CS","2021","Black","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","115","[c]","28820","26910"
"Leaver CS","2021","Chinese","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","250","[c]","31570","27570"
"Leaver CS","2021","Mixed","LGBO","40","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","40","[c]","33110","27570"
"Leaver CS","2021","Mixed","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","80","[c]","36120","30570"
"Leaver CS","2021","Other ethnicity","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","100","[c]","32370","27570"
"Leaver CS","2021","Undeclared","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","500","[c]","35000","32080"
"Leaver CS","2021","Undeclared","Unknown","715","[c]","28830","25460"
"Leaver CS","2021","Unknown","Heterosexual / straight","200","[c]","36070","27570"
"Leaver CS","2021","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","190","[c]","31190","25750"
"Leaver CS","2021","Unknown","Unknown","6155","[c]","32230","27570"
"Leaver CS","2021","White","Heterosexual / straight","10535","[c]","33010","27570"
"Leaver CS","2021","White","LGBO","645","[c]","32590","27490"
"Leaver CS","2021","White","Undeclared","1145","[c]","32820","27460"
"Leaver CS","2021","White","Unknown","5250","[c]","32600","27380"
"Leaver Dept.","2021","Asian","Heterosexual / straight","695","[c]","34410","31060"
"Leaver Dept.","2021","Asian","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Undeclared","35","[c]","35680","32130"
"Leaver Dept.","2021","Asian","Unknown","210","[c]","41850","35240"
"Leaver Dept.","2021","Black","Heterosexual / straight","380","[c]","33890","31070"
"Leaver Dept.","2021","Black","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","80","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","[c]","[c]","[c]","[c]"
