"Status","Year","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","115","105","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","15","15","41890","39130"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","60","55","45550","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","15","15","36610","25720"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","25","25","40040","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","905","840","31520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","10","10","38760","35910"
"In post","2021","Animal and Plant Health Agency","Commercial","10","10","27840","24370"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","15","15","32170","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","1570","1480","27060","25100"
"In post","2021","Animal and Plant Health Agency","Other","15","15","36610","33120"
"In post","2021","Animal and Plant Health Agency","Project Delivery","30","30","34670","33560"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","655","615","31720","28270"
"In post","2021","Animal and Plant Health Agency","Unknown","30","25","25280","21050"
"In post","2021","Animal and Plant Health Agency","Veterinarian","355","335","44470","38750"
"In post","2021","Attorney General's Office","Communications","10","10","42920","38290"
"In post","2021","Attorney General's Office","Legal","15","15","69090","65680"
"In post","2021","Attorney General's Office","Other","10","10","32820","30720"
"In post","2021","Attorney General's Office","Policy","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","25","25","37960","37300"
"In post","2021","Cabinet Office (excl. agencies)","Other","35","35","46720","43890"
"In post","2021","Cabinet Office (excl. agencies)","Policy","30","25","54580","54700"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","9345","9165","46690","38230"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","15","15","41820","40320"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","10","10","31730","26890"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","20","20","30610","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","60","55","33860","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","15","10","43240","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","480","455","33720","29750"
"In post","2021","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","15","15","41890","37910"
"In post","2021","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","45","45","36970","37910"
"In post","2021","Charity Commission","Finance","10","10","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","10","10","32360","29160"
"In post","2021","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","25","20","51650","52590"
"In post","2021","Charity Commission","Operational Delivery","55","55","32020","29160"
"In post","2021","Charity Commission","Other","20","20","30830","29160"
"In post","2021","Charity Commission","Policy","10","10","41660","37910"
"In post","2021","Charity Commission","Project Delivery","15","15","32100","29160"
"In post","2021","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","220","210","32970","29160"
"In post","2021","Companies House","Commercial","5","5","[c]","[c]"
"In post","2021","Companies House","Communications","20","20","36610","36240"
"In post","2021","Companies House","Digital, Data and Technology","255","250","38840","38000"
"In post","2021","Companies House","Finance","60","55","30930","27460"
"In post","2021","Companies House","Human Resources","85","80","33040","27460"
"In post","2021","Companies House","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Companies House","Legal","5","5","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","575","515","24590","22490"
"In post","2021","Companies House","Other","20","20","52090","42610"
"In post","2021","Companies House","Policy","30","25","41520","39820"
"In post","2021","Companies House","Project Delivery","15","15","43350","46140"
"In post","2021","Companies House","Property","10","5","[c]","[c]"
"In post","2021","Companies House","Security","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","35","35","48650","42290"
"In post","2021","Competition and Markets Authority","Corporate Finance","15","15","46260","43490"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","65","65","56530","54550"
"In post","2021","Competition and Markets Authority","Economics","95","90","62530","59510"
"In post","2021","Competition and Markets Authority","Human Resources","35","35","50820","45980"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","35","35","53090","46940"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","130","125","70480","72430"
"In post","2021","Competition and Markets Authority","Policy","25","25","66640","63370"
"In post","2021","Competition and Markets Authority","Project Delivery","375","365","60680","56360"
"In post","2021","Competition and Markets Authority","Property","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","370","360","34050","34800"
"In post","2021","Crown Commercial Service","Communications","20","15","35330","34270"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","115","115","41230","35760"
"In post","2021","Crown Commercial Service","Finance","30","30","43110","35860"
"In post","2021","Crown Commercial Service","Human Resources","30","30","37140","31290"
"In post","2021","Crown Commercial Service","Operational Delivery","185","180","41070","35570"
"In post","2021","Crown Commercial Service","Project Delivery","25","25","47290","46920"
"In post","2021","Crown Commercial Service","Unknown","10","10","40390","35280"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","50","50","40730","36930"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","20","20","39520","38610"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","30","30","33810","31110"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","20","20","38010","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","600","565","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","20","20","47900","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
