"Status","Year","Age","Disability","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA","Male","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","AO","Female","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA","Female","55","50","20030","20600"
"In post","2021","16-19","Declared non-disabled","AA","Male","60","55","18580","19160"
"In post","2021","16-19","Declared non-disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AO","Female","220","210","21470","21010"
"In post","2021","16-19","Declared non-disabled","AO","Male","150","150","21380","21010"
"In post","2021","16-19","Declared non-disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Female","85","85","24350","25170"
"In post","2021","16-19","Declared non-disabled","EO","Male","100","95","22720","22870"
"In post","2021","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Male","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA","Female","40","40","19450","19560"
"In post","2021","16-19","Unknown","AA","Male","40","35","19170","19130"
"In post","2021","16-19","Unknown","AO","Female","185","180","21020","20140"
"In post","2021","16-19","Unknown","AO","Male","145","140","21040","20140"
"In post","2021","16-19","Unknown","EO","Female","25","25","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Male","65","65","20990","18660"
"In post","2021","16-19","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","45","45","18530","16780"
"In post","2021","20-29","Declared disabled","AA","Female","105","100","19990","20600"
"In post","2021","20-29","Declared disabled","AA","Male","90","90","19790","20060"
"In post","2021","20-29","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","AO","Female","740","705","22240","21010"
"In post","2021","20-29","Declared disabled","AO","Male","595","585","22910","21010"
"In post","2021","20-29","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","EO","Female","960","940","27310","27570"
"In post","2021","20-29","Declared disabled","EO","Male","605","600","27030","27570"
"In post","2021","20-29","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","G6","Female","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","G6","Male","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","G7","Female","145","145","53100","53130"
"In post","2021","20-29","Declared disabled","G7","Male","90","90","53110","53380"
"In post","2021","20-29","Declared disabled","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","HEO","Female","580","570","32450","32330"
"In post","2021","20-29","Declared disabled","HEO","Male","420","415","32640","32560"
"In post","2021","20-29","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SEO","Female","190","190","39540","39600"
"In post","2021","20-29","Declared disabled","SEO","Male","140","135","39180","38820"
"In post","2021","20-29","Declared disabled","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Female","205","200","25480","23840"
"In post","2021","20-29","Declared disabled","Unknown","Male","50","50","28020","30210"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","AA","Female","845","805","19980","20600"
