"Status","Year","Disability","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","South West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
