"Status","Year","Ethnicity","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Female","Heterosexual / straight","515","475","41930","40800"
"In post","2021","Asian","Attorney General's Departments","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Female","Unknown","85","70","43130","49930"
"In post","2021","Asian","Attorney General's Departments","Male","Heterosexual / straight","230","225","42940","40000"
"In post","2021","Asian","Attorney General's Departments","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Male","Unknown","35","35","45850","51970"
"In post","2021","Asian","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Female","Heterosexual / straight","255","245","44440","40600"
"In post","2021","Asian","Cabinet Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Male","Heterosexual / straight","165","160","47790","40600"
"In post","2021","Asian","Cabinet Office","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Female","Heterosexual / straight","50","50","41770","34870"
"In post","2021","Asian","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Male","Heterosexual / straight","45","45","49570","42290"
"In post","2021","Asian","Competition and Markets Authority","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","330","315","40380","36230"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Female","Unknown","45","45","29790","26750"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","250","245","39870","36020"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Male","Unknown","35","35","31790","29080"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","60","60","47280","51730"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","50","50","46210","41850"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Female","Heterosexual / straight","345","330","39010","36500"
"In post","2021","Asian","Department for Education","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Department for Education","Female","Unknown","35","35","42100","40080"
"In post","2021","Asian","Department for Education","Male","Heterosexual / straight","255","255","39830","36780"
"In post","2021","Asian","Department for Education","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education","Male","Unknown","35","35","44010","40300"
"In post","2021","Asian","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
