"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","London","AA","Heterosexual / straight","215","195","22090","22210"
"In post","2021","Asian","London","AA","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","London","AA","Undeclared","30","30","21830","22210"
"In post","2021","Asian","London","AA","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","London","AO","Heterosexual / straight","1615","1465","25140","25110"
"In post","2021","Asian","London","AO","LGBO","45","40","25380","25110"
"In post","2021","Asian","London","AO","Undeclared","190","165","24900","25110"
"In post","2021","Asian","London","AO","Unknown","305","245","24840","25110"
"In post","2021","Asian","London","EO","Heterosexual / straight","3745","3520","29730","29570"
"In post","2021","Asian","London","EO","LGBO","80","75","29650","30010"
"In post","2021","Asian","London","EO","Undeclared","295","260","29850","30180"
"In post","2021","Asian","London","EO","Unknown","440","390","30550","31060"
"In post","2021","Asian","London","G6","Heterosexual / straight","370","360","68900","67500"
"In post","2021","Asian","London","G6","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","London","G6","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","London","G6","Unknown","55","50","71610","68200"
"In post","2021","Asian","London","G7","Heterosexual / straight","1395","1360","56710","56150"
"In post","2021","Asian","London","G7","LGBO","50","50","56860","54760"
"In post","2021","Asian","London","G7","Undeclared","65","65","56210","54760"
"In post","2021","Asian","London","G7","Unknown","115","110","56440","54700"
"In post","2021","Asian","London","HEO","Heterosexual / straight","2195","2135","35330","35200"
"In post","2021","Asian","London","HEO","LGBO","55","55","34940","34710"
"In post","2021","Asian","London","HEO","Undeclared","125","120","35710","35200"
"In post","2021","Asian","London","HEO","Unknown","210","205","36610","36240"
"In post","2021","Asian","London","SCS level","Heterosexual / straight","180","175","91530","84610"
"In post","2021","Asian","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","SCS level","Unknown","30","25","[c]","[c]"
"In post","2021","Asian","London","SEO","Heterosexual / straight","1320","1295","42560","41970"
"In post","2021","Asian","London","SEO","LGBO","25","25","[c]","[c]"
"In post","2021","Asian","London","SEO","Undeclared","90","85","43140","42010"
"In post","2021","Asian","London","SEO","Unknown","115","110","43420","41760"
"In post","2021","Asian","London","Unknown","Heterosexual / straight","115","110","31870","32090"
"In post","2021","Asian","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","AA","Heterosexual / straight","290","265","19680","19560"
"In post","2021","Asian","Outside London","AA","LGBO","15","10","[c]","[c]"
"In post","2021","Asian","Outside London","AA","Undeclared","30","25","18430","17990"
"In post","2021","Asian","Outside London","AA","Unknown","45","35","20230","20070"
"In post","2021","Asian","Outside London","AO","Heterosexual / straight","3950","3505","21220","21010"
"In post","2021","Asian","Outside London","AO","LGBO","115","100","21200","20920"
"In post","2021","Asian","Outside London","AO","Undeclared","325","275","21260","21010"
"In post","2021","Asian","Outside London","AO","Unknown","745","610","21150","21010"
"In post","2021","Asian","Outside London","EO","Heterosexual / straight","4145","3915","26810","27570"
"In post","2021","Asian","Outside London","EO","LGBO","85","75","27210","27570"
"In post","2021","Asian","Outside London","EO","Undeclared","270","245","26740","27550"
"In post","2021","Asian","Outside London","EO","Unknown","660","585","27140","27570"
"In post","2021","Asian","Outside London","G6","Heterosexual / straight","120","120","67550","65550"
"In post","2021","Asian","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Outside London","G7","Heterosexual / straight","600","580","54210","52580"
"In post","2021","Asian","Outside London","G7","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Outside London","G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Outside London","G7","Unknown","95","90","54220","52580"
"In post","2021","Asian","Outside London","HEO","Heterosexual / straight","1725","1660","32160","31810"
"In post","2021","Asian","Outside London","HEO","LGBO","30","30","32040","31810"
"In post","2021","Asian","Outside London","HEO","Undeclared","85","80","32130","31810"
"In post","2021","Asian","Outside London","HEO","Unknown","195","185","33090","31990"
"In post","2021","Asian","Outside London","SCS level","Heterosexual / straight","65","65","93370","92470"
"In post","2021","Asian","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Outside London","SEO","Heterosexual / straight","975","950","40870","38630"
"In post","2021","Asian","Outside London","SEO","LGBO","25","25","[c]","[c]"
"In post","2021","Asian","Outside London","SEO","Undeclared","50","50","41420","40000"
"In post","2021","Asian","Outside London","SEO","Unknown","105","105","39100","38630"
"In post","2021","Asian","Outside London","Unknown","Heterosexual / straight","435","405","29400","28200"
"In post","2021","Asian","Outside London","Unknown","LGBO","10","5","[c]","[c]"
"In post","2021","Asian","Outside London","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AO","Heterosexual / straight","35","30","23630","25110"
"In post","2021","Asian","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AO","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Unknown","AO","Unknown","15","10","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Heterosexual / straight","60","55","29000","27570"
"In post","2021","Asian","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","AA","Heterosexual / straight","230","215","22800","22650"
"In post","2021","Black","London","AA","LGBO","5","5","[c]","[c]"
"In post","2021","Black","London","AA","Undeclared","15","10","[c]","[c]"
"In post","2021","Black","London","AA","Unknown","60","55","24490","24920"
"In post","2021","Black","London","AO","Heterosexual / straight","1570","1490","26040","25110"
"In post","2021","Black","London","AO","LGBO","30","30","25440","24740"
"In post","2021","Black","London","AO","Undeclared","130","115","25440","25110"
"In post","2021","Black","London","AO","Unknown","250","225","27010","25110"
"In post","2021","Black","London","EO","Heterosexual / straight","2830","2735","30070","30720"
"In post","2021","Black","London","EO","LGBO","70","70","29890","31060"
"In post","2021","Black","London","EO","Undeclared","195","185","30250","30530"
"In post","2021","Black","London","EO","Unknown","440","405","30850","31060"
