"Status","Year","Ethnicity","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","Greater Manchester","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Inner London - East","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Inner London - West","60","60","42810","38920"
"In post","2021","Asian","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
