"Status","Year","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Female","79340","67945","21750","21010"
"In post","2021","AA/AO","Male","61320","58655","23390","21430"
"In post","2021","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","73455","66040","27540","27570"
"In post","2021","EO","Male","55425","53405","28030","27570"
"In post","2021","EO","Unknown","10","10","[c]","[c]"
"In post","2021","G6/G7","Female","30185","28575","58300","56340"
"In post","2021","G6/G7","Male","32235","31595","59270","57460"
"In post","2021","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","SCS level","Female","3405","3230","88270","80390"
"In post","2021","SCS level","Male","3885","3820","92520","83680"
"In post","2021","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Female","65955","62325","36290","35300"
"In post","2021","SEO/HEO","Male","63045","61585","37320","36500"
"In post","2021","SEO/HEO","Unknown","35","35","33920","32540"
"In post","2021","Unknown","Female","10330","9485","30330","30200"
"In post","2021","Unknown","Male","6240","6115","35860","33570"
"Leaver CS","2021","AA/AO","Female","6630","[c]","20950","21010"
"Leaver CS","2021","AA/AO","Male","5270","[c]","21660","21010"
"Leaver CS","2021","AA/AO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","3340","[c]","27120","27570"
"Leaver CS","2021","EO","Male","2815","[c]","27690","27570"
"Leaver CS","2021","EO","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","1100","[c]","60280","57520"
"Leaver CS","2021","G6/G7","Male","1375","[c]","60920","58400"
"Leaver CS","2021","G6/G7","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Female","185","[c]","93320","86390"
"Leaver CS","2021","SCS level","Male","255","[c]","102350","96460"
"Leaver CS","2021","SCS level","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","2605","[c]","36530","35710"
"Leaver CS","2021","SEO/HEO","Male","2880","[c]","37650","36780"
"Leaver CS","2021","SEO/HEO","Unknown","50","[c]","37670","39930"
"Leaver CS","2021","Unknown","Female","755","[c]","32180","30170"
"Leaver CS","2021","Unknown","Male","505","[c]","36470","33790"
"Leaver CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Female","1225","[c]","21040","21010"
"Leaver Dept.","2021","AA/AO","Male","915","[c]","21150","21010"
"Leaver Dept.","2021","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Female","1390","[c]","26900","27570"
"Leaver Dept.","2021","EO","Male","1010","[c]","26800","27570"
"Leaver Dept.","2021","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Female","1200","[c]","57040","54880"
"Leaver Dept.","2021","G6/G7","Male","1100","[c]","57180","54870"
"Leaver Dept.","2021","G6/G7","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Female","210","[c]","85950","77890"
"Leaver Dept.","2021","SCS level","Male","135","[c]","90030","83500"
"Leaver Dept.","2021","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","2465","[c]","35080","33960"
"Leaver Dept.","2021","SEO/HEO","Male","2090","[c]","35200","33960"
"Leaver Dept.","2021","SEO/HEO","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","120","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","100","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Female","11030","[c]","21300","21010"
"New entrant CS","2021","AA/AO","Male","9540","[c]","21880","21010"
"New entrant CS","2021","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","10915","[c]","27710","27570"
"New entrant CS","2021","EO","Male","7750","[c]","27490","27570"
"New entrant CS","2021","EO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","1800","[c]","56970","54110"
