"Status","Year","Disability","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","Female","25","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Anglia","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Anglia","Male","[c]","[c]","[c]","[c]"
