"Status","Year","Disability","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Female","60","55","30510","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Male","35","30","30100","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","Female","10","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","Female","215","200","27020","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","Male","125","120","30050","26240"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","Female","270","260","47510","42250"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","Male","225","220","48730","54700"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Female","110","100","33340","32960"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Male","85","85","36990","33300"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","15","15","[c]","[c]"
