"Status","Year","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","AA","1770","1640","22200","22210"
"In post","2021","London","AO","10935","10175","26090","25110"
"In post","2021","London","EO","21305","20200","29990","30110"
"In post","2021","London","G6","8185","7860","69520","68430"
"In post","2021","London","G7","19450","18855","56730","55700"
"In post","2021","London","HEO","20140","19710","35180","35070"
"In post","2021","London","SCS level","4695","4525","90940","81900"
"In post","2021","London","SEO","13795","13445","42880","41970"
"In post","2021","London","Unknown","1650","1590","33840","33370"
"In post","2021","Outside London","AA","17315","15615","19740","20060"
"In post","2021","Outside London","AO","110345","98895","22540","21050"
"In post","2021","Outside London","EO","106725","98425","27300","27570"
"In post","2021","Outside London","G6","7840","7560","67920","65700"
"In post","2021","Outside London","G7","25415","24380","54070","52580"
"In post","2021","Outside London","HEO","55365","52685","32840","31990"
"In post","2021","Outside London","SCS level","2285","2220","90250","83230"
"In post","2021","Outside London","SEO","37430","35820","41190","40000"
"In post","2021","Outside London","Unknown","12755","11845","31470","30210"
"In post","2021","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","55","55","22530","23000"
"In post","2021","Overseas","EO","280","275","28020","27370"
"In post","2021","Overseas","G6","455","455","66560","65330"
"In post","2021","Overseas","G7","880","875","56480","55360"
"In post","2021","Overseas","HEO","1075","1070","36610","34330"
"In post","2021","Overseas","SCS level","285","285","85970","77460"
"In post","2021","Overseas","SEO","470","470","47460","42330"
"In post","2021","Overseas","Unknown","255","255","39460","36710"
"In post","2021","Unknown","AA","15","10","20120","20120"
"In post","2021","Unknown","AO","230","205","22370","21010"
"In post","2021","Unknown","EO","590","555","28030","27570"
"In post","2021","Unknown","G6","60","55","66610","64500"
"In post","2021","Unknown","G7","140","135","53540","53070"
"In post","2021","Unknown","HEO","620","610","32600","32000"
"In post","2021","Unknown","SCS level","25","25","92980","77380"
"In post","2021","Unknown","SEO","140","140","41010","39960"
"In post","2021","Unknown","Unknown","1915","1910","37270","33570"
"Leaver CS","2021","London","AA","240","[c]","20490","21000"
"Leaver CS","2021","London","AO","1030","[c]","23470","23530"
"Leaver CS","2021","London","EO","1155","[c]","28680","28950"
"Leaver CS","2021","London","G6","300","[c]","70940","70190"
"Leaver CS","2021","London","G7","775","[c]","56920","55610"
"Leaver CS","2021","London","HEO","855","[c]","34020","33640"
"Leaver CS","2021","London","SCS level","265","[c]","98840","92480"
"Leaver CS","2021","London","SEO","575","[c]","42170","41050"
"Leaver CS","2021","London","Unknown","130","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","AA","1725","[c]","18700","18730"
"Leaver CS","2021","Outside London","AO","8855","[c]","21500","21010"
"Leaver CS","2021","Outside London","EO","4980","[c]","27060","27570"
"Leaver CS","2021","Outside London","G6","395","[c]","71800","70280"
"Leaver CS","2021","Outside London","G7","950","[c]","55450","55000"
"Leaver CS","2021","Outside London","HEO","2350","[c]","33220","33250"
"Leaver CS","2021","Outside London","SCS level","160","[c]","95940","92600"
"Leaver CS","2021","Outside London","SEO","1615","[c]","41800","40840"
"Leaver CS","2021","Outside London","Unknown","650","[c]","36670","35530"
"Leaver CS","2021","Overseas","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G7","15","[c]","59780","58740"
"Leaver CS","2021","Overseas","HEO","75","[c]","36200","36960"
"Leaver CS","2021","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SEO","10","[c]","47210","43220"
"Leaver CS","2021","Overseas","Unknown","[c]","[c]","[c]","[c]"
