"Status","Year","Ethnicity","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA","Female","Heterosexual / straight","230","190","20380","20280"
"In post","2021","Asian","AA","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","AA","Female","Undeclared","35","30","20160","20070"
"In post","2021","Asian","AA","Female","Unknown","30","20","[c]","[c]"
"In post","2021","Asian","AA","Male","Heterosexual / straight","280","265","20970","20600"
"In post","2021","Asian","AA","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","AA","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","AA","Male","Unknown","35","35","21260","20600"
"In post","2021","Asian","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AO","Female","Heterosexual / straight","3140","2660","22190","21370"
"In post","2021","Asian","AO","Female","LGBO","85","70","22680","21440"
"In post","2021","Asian","AO","Female","Undeclared","370","300","22640","21590"
"In post","2021","Asian","AO","Female","Unknown","705","530","22190","21050"
"In post","2021","Asian","AO","Male","Heterosexual / straight","2460","2345","22580","21010"
"In post","2021","Asian","AO","Male","LGBO","75","70","22210","21010"
"In post","2021","Asian","AO","Male","Undeclared","155","145","22540","21150"
"In post","2021","Asian","AO","Male","Unknown","360","330","22330","21010"
"In post","2021","Asian","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Female","Heterosexual / straight","4455","4065","28320","28010"
"In post","2021","Asian","EO","Female","LGBO","85","80","28490","27680"
"In post","2021","Asian","EO","Female","Undeclared","360","315","28550","28860"
"In post","2021","Asian","EO","Female","Unknown","720","610","28620","27570"
"In post","2021","Asian","EO","Male","Heterosexual / straight","3515","3445","28050","27570"
"In post","2021","Asian","EO","Male","LGBO","80","80","28280","27570"
"In post","2021","Asian","EO","Male","Undeclared","205","195","28030","27570"
"In post","2021","Asian","EO","Male","Unknown","385","370","28270","27570"
"In post","2021","Asian","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6","Female","Heterosexual / straight","280","270","68060","66740"
"In post","2021","Asian","G6","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","G6","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","G6","Female","Unknown","35","30","70190","67080"
"In post","2021","Asian","G6","Male","Heterosexual / straight","225","220","69070","68160"
"In post","2021","Asian","G6","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","G6","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","G6","Male","Unknown","35","35","72760","71080"
"In post","2021","Asian","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G7","Female","Heterosexual / straight","1095","1050","55560","54650"
"In post","2021","Asian","G7","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Asian","G7","Female","Undeclared","55","50","54950","54400"
"In post","2021","Asian","G7","Female","Unknown","115","105","55050","53960"
"In post","2021","Asian","G7","Male","Heterosexual / straight","930","920","56440","55000"
"In post","2021","Asian","G7","Male","LGBO","40","40","56470","54730"
"In post","2021","Asian","G7","Male","Undeclared","40","40","56090","54730"
"In post","2021","Asian","G7","Male","Unknown","95","95","55820","54150"
"In post","2021","Asian","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HEO","Female","Heterosexual / straight","2095","2010","33940","33930"
"In post","2021","Asian","HEO","Female","LGBO","35","35","33180","32800"
"In post","2021","Asian","HEO","Female","Undeclared","125","120","33980","34470"
"In post","2021","Asian","HEO","Female","Unknown","215","205","34750","34750"
"In post","2021","Asian","HEO","Male","Heterosexual / straight","1875","1830","33950","33300"
"In post","2021","Asian","HEO","Male","LGBO","55","55","34420","33510"
"In post","2021","Asian","HEO","Male","Undeclared","90","85","34700","34410"
"In post","2021","Asian","HEO","Male","Unknown","190","190","35070","35050"
"In post","2021","Asian","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Female","Heterosexual / straight","130","120","90720","88360"
"In post","2021","Asian","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","SCS level","Male","Heterosexual / straight","120","120","92980","90500"
"In post","2021","Asian","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO","Female","Heterosexual / straight","1205","1160","41290","40940"
"In post","2021","Asian","SEO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","SEO","Female","Undeclared","75","75","42470","41970"
"In post","2021","Asian","SEO","Female","Unknown","125","120","40710","40310"
"In post","2021","Asian","SEO","Male","Heterosexual / straight","1110","1105","42510","41710"
"In post","2021","Asian","SEO","Male","LGBO","35","35","43560","42780"
"In post","2021","Asian","SEO","Male","Undeclared","65","60","42510","41860"
"In post","2021","Asian","SEO","Male","Unknown","100","95","42050","40800"
"In post","2021","Asian","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Female","Heterosexual / straight","395","365","29360","28200"
"In post","2021","Asian","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","Male","Heterosexual / straight","185","180","31210","30210"
"In post","2021","Asian","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA","Female","Heterosexual / straight","190","170","21680","22160"
"In post","2021","Black","AA","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Black","AA","Female","Undeclared","15","10","[c]","[c]"
"In post","2021","Black","AA","Female","Unknown","40","35","23270","23260"
"In post","2021","Black","AA","Male","Heterosexual / straight","205","200","21770","21550"
"In post","2021","Black","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Black","AA","Male","Unknown","50","50","23360","24020"
"In post","2021","Black","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","AO","Female","Heterosexual / straight","1745","1595","23480","23270"
"In post","2021","Black","AO","Female","LGBO","45","45","23690","23360"
"In post","2021","Black","AO","Female","Undeclared","160","140","23570","23500"
"In post","2021","Black","AO","Female","Unknown","270","235","24140","23230"
"In post","2021","Black","AO","Male","Heterosexual / straight","1130","1100","25810","24740"
"In post","2021","Black","AO","Male","LGBO","25","25","[c]","[c]"
"In post","2021","Black","AO","Male","Undeclared","50","50","26950","25110"
"In post","2021","Black","AO","Male","Unknown","145","140","27410","25110"
"In post","2021","Black","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Female","Heterosexual / straight","2985","2845","29090","29290"
"In post","2021","Black","EO","Female","LGBO","75","70","28760","28990"
"In post","2021","Black","EO","Female","Undeclared","195","185","29530","29460"
"In post","2021","Black","EO","Female","Unknown","440","400","29800","30380"
"In post","2021","Black","EO","Male","Heterosexual / straight","1405","1385","29010","29080"
"In post","2021","Black","EO","Male","LGBO","55","55","29370","28650"
"In post","2021","Black","EO","Male","Undeclared","85","85","28940","28810"
"In post","2021","Black","EO","Male","Unknown","175","170","30370","31060"
"In post","2021","Black","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6","Female","Heterosexual / straight","85","85","69660","68200"
"In post","2021","Black","G6","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Black","G6","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Black","G6","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Black","G6","Male","Heterosexual / straight","65","65","69590","68610"
"In post","2021","Black","G6","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6","Male","Undeclared","5","5","[c]","[c]"
