"Status","Year","Disability","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scottish Government","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","105","100","31240","30950"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","350","330","28410","25190"
"In post","2021","Declared disabled","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","710","685","43990","38420"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","30","30","28240","29270"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","25","25","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","70","65","31950","25100"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","40","40","56920","55480"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","35","30","23110","22570"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","45","40","39130","34800"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","105","95","37590","33550"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","720","665","42200","38180"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","30","30","29940","27460"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","1090","1045","35460","33070"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","465","445","37970","37320"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","470","460","46860","40620"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","115","115","47040","39280"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","520","495","41820","37100"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","590","570","40420","36970"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","200","200","45110","39200"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","195","190","45810","43360"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15220","13360","27040","27570"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","135","130","46200","40650"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","30","30","26770","23170"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","660","540","24060","21590"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","455","415","29260","26780"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","165","155","39590","36960"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","10","10","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","80","75","36780","32810"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","70","70","34990","30810"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","15","15","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","720","700","44370","38600"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","40","40","28170","26530"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","15","15","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","50","50","44710","42720"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","185","175","52980","52040"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","25","25","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","325","295","39350","35910"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","2075","1870","23730","20650"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","485","420","30520","27130"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","5960","5590","30620","29110"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5490","4910","30940","27810"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","185","180","46160","42900"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","3065","2815","31320","27370"
"In post","2021","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","185","170","32860","29940"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","20","20","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","Ministry of Justice","135","125","25680","21170"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Department for Transport","65","65","34190","30730"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","50","45","43500","34700"
"In post","2021","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","100","95","36210","33860"
