"Status","Year","Disability","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","SEO/HEO","30","30","38060","36160"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","EO","10","10","[c]","[c]"
