"Status","Year","Ethnicity","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","55","50","36170","28430"
"In post","2021","Asian","Attorney General's Departments","East of England","30","30","37410","37120"
"In post","2021","Asian","Attorney General's Departments","London","590","550","44340","43920"
"In post","2021","Asian","Attorney General's Departments","North East (England)","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","40","35","40520","48080"
"In post","2021","Asian","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","30","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","100","90","36280","28430"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","50","45","42800","48080"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","415","410","47350","41820"
"In post","2021","Asian","Cabinet Office","North East (England)","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South East (England)","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","45","45","45860","41210"
"In post","2021","Asian","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","105","100","45900","37660"
"In post","2021","Asian","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","495","485","43200","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Wales","45","45","32410","30440"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","100","95","28690","24570"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","115","115","47120","42280"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","North West (England)","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","East Midlands (England)","25","25","[c]","[c]"
"In post","2021","Asian","Department for Education","East of England","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education","London","270","260","44280","40780"
"In post","2021","Asian","Department for Education","North East (England)","15","10","[c]","[c]"
"In post","2021","Asian","Department for Education","North West (England)","75","75","35150","30320"
"In post","2021","Asian","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","West Midlands (England)","230","225","37370","36500"
"In post","2021","Asian","Department for Education","Yorkshire and The Humber","85","85","36310","31780"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","East of England","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","185","185","39280","33510"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
