"Status","Year","Ethnicity","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Digital, Culture, Media and Sport","Female","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Digital, Culture, Media and Sport","Male","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education","Female","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport","Female","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care","Female","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
