"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","40","40","20750","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","95","90","25060","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","90","85","51850","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","260","245","32850","30220"
"In post","2021","Analysis","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","G6/G7","75","75","65410","61530"
"In post","2021","Analysis","Competition and Markets Authority","London","SCS level","10","10","109610","101590"
