"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","AA/AO","15","10","[c]","[c]"
"In post","2021","Asian","Commercial","EO","35","35","27350","27230"
"In post","2021","Asian","Commercial","G6/G7","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SEO/HEO","140","140","37870","36960"
"In post","2021","Asian","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Communications","AA/AO","10","5","[c]","[c]"
"In post","2021","Asian","Communications","EO","35","35","27850","27510"
"In post","2021","Asian","Communications","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SEO/HEO","100","100","38040","37320"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","EO","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","AA/AO","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","EO","150","150","27920","27130"
"In post","2021","Asian","Digital, Data and Technology","G6/G7","225","225","60460","59960"
"In post","2021","Asian","Digital, Data and Technology","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","SEO/HEO","450","445","38340","38070"
"In post","2021","Asian","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
