"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","AA","Female","95","85","21990","22210"
"In post","2021","Declared disabled","London","AA","Male","70","65","21690","22110"
"In post","2021","Declared disabled","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","AO","Female","735","650","25010","25060"
"In post","2021","Declared disabled","London","AO","Male","470","455","26410","25110"
"In post","2021","Declared disabled","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","EO","Female","1525","1405","30120","30690"
"In post","2021","Declared disabled","London","EO","Male","915","875","30290","30500"
"In post","2021","Declared disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","G6","Female","335","315","68110","67480"
"In post","2021","Declared disabled","London","G6","Male","250","245","69210","68290"
"In post","2021","Declared disabled","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","G7","Female","765","730","56730","55580"
"In post","2021","Declared disabled","London","G7","Male","665","650","57340","56700"
"In post","2021","Declared disabled","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","HEO","Female","930","890","35360","35200"
"In post","2021","Declared disabled","London","HEO","Male","735","725","35810","35700"
"In post","2021","Declared disabled","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","SCS level","Female","135","130","87780","80000"
"In post","2021","Declared disabled","London","SCS level","Male","145","140","91320","81220"
"In post","2021","Declared disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","SEO","Female","640","610","42740","41950"
"In post","2021","Declared disabled","London","SEO","Male","495","485","43660","42550"
"In post","2021","Declared disabled","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Female","230","220","33620","32090"
"In post","2021","Declared disabled","London","Unknown","Male","70","70","35810","36580"
"In post","2021","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","AA","Female","950","800","19430","19560"
"In post","2021","Declared disabled","Outside London","AA","Male","935","865","19840","19850"
"In post","2021","Declared disabled","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","AO","Female","7435","6180","21460","21010"
"In post","2021","Declared disabled","Outside London","AO","Male","4815","4495","22810","21010"
"In post","2021","Declared disabled","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","EO","Female","8190","7170","27170","27570"
"In post","2021","Declared disabled","Outside London","EO","Male","4940","4670","27670","27570"
"In post","2021","Declared disabled","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","G6","Female","260","245","66720","64770"
"In post","2021","Declared disabled","Outside London","G6","Male","255","245","68310","65490"
"In post","2021","Declared disabled","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","G7","Female","1060","1000","53520","52580"
"In post","2021","Declared disabled","Outside London","G7","Male","930","905","54240","52580"
"In post","2021","Declared disabled","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","HEO","Female","3100","2875","32540","32070"
"In post","2021","Declared disabled","Outside London","HEO","Male","2400","2300","33190","32550"
"In post","2021","Declared disabled","Outside London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","SCS level","Female","60","60","85760","80140"
"In post","2021","Declared disabled","Outside London","SCS level","Male","75","75","89420","83600"
