"Status","Year","Age","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","London","AO","Heterosexual / straight","30","30","23820","23520"
"In post","2021","16-19","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AO","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","London","EO","Heterosexual / straight","55","55","26510","26330"
"In post","2021","16-19","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","London","EO","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","AA","Heterosexual / straight","110","105","19330","20060"
"In post","2021","16-19","Outside London","AA","LGBO","10","10","[c]","[c]"
"In post","2021","16-19","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","AA","Unknown","75","65","19030","19160"
"In post","2021","16-19","Outside London","AO","Heterosexual / straight","350","335","21210","21010"
"In post","2021","16-19","Outside London","AO","LGBO","30","30","20900","21010"
"In post","2021","16-19","Outside London","AO","Undeclared","35","30","21270","21010"
"In post","2021","16-19","Outside London","AO","Unknown","270","260","20840","20140"
"In post","2021","16-19","Outside London","EO","Heterosexual / straight","140","140","22200","21490"
"In post","2021","16-19","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Outside London","EO","Unknown","65","65","19860","17780"
"In post","2021","16-19","Outside London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","London","AA","Heterosexual / straight","155","145","22240","22210"
"In post","2021","20-29","London","AA","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","London","AA","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","London","AA","Unknown","85","85","20850","19060"
"In post","2021","20-29","London","AO","Heterosexual / straight","1415","1395","25980","25110"
"In post","2021","20-29","London","AO","LGBO","130","130","26900","25110"
"In post","2021","20-29","London","AO","Undeclared","120","120","25790","24900"
"In post","2021","20-29","London","AO","Unknown","730","720","26120","24310"
"In post","2021","20-29","London","EO","Heterosexual / straight","3620","3585","29340","29080"
"In post","2021","20-29","London","EO","LGBO","375","370","28910","28520"
"In post","2021","20-29","London","EO","Undeclared","315","310","28920","28650"
"In post","2021","20-29","London","EO","Unknown","1155","1145","28860","28650"
"In post","2021","20-29","London","G6","Heterosexual / straight","140","140","65190","64700"
"In post","2021","20-29","London","G6","LGBO","30","30","[c]","[c]"
"In post","2021","20-29","London","G6","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","London","G6","Unknown","70","70","65010","64700"
"In post","2021","20-29","London","G7","Heterosexual / straight","1865","1860","54510","53760"
"In post","2021","20-29","London","G7","LGBO","325","320","54520","53420"
"In post","2021","20-29","London","G7","Undeclared","225","220","55040","53620"
"In post","2021","20-29","London","G7","Unknown","740","740","54340","54070"
"In post","2021","20-29","London","HEO","Heterosexual / straight","4495","4480","34450","34020"
"In post","2021","20-29","London","HEO","LGBO","620","620","34170","33710"
"In post","2021","20-29","London","HEO","Undeclared","510","505","34180","33620"
"In post","2021","20-29","London","HEO","Unknown","2605","2600","32550","32750"
"In post","2021","20-29","London","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","London","SEO","Heterosexual / straight","1765","1755","41120","40600"
"In post","2021","20-29","London","SEO","LGBO","255","255","41180","40350"
"In post","2021","20-29","London","SEO","Undeclared","190","190","40940","40510"
"In post","2021","20-29","London","SEO","Unknown","650","645","40810","40650"
"In post","2021","20-29","London","Unknown","Heterosexual / straight","270","265","29330","26810"
"In post","2021","20-29","London","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","London","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","London","Unknown","Unknown","50","50","25880","26810"
"In post","2021","20-29","Outside London","AA","Heterosexual / straight","1425","1370","19900","20330"
"In post","2021","20-29","Outside London","AA","LGBO","170","165","19850","20600"
"In post","2021","20-29","Outside London","AA","Undeclared","130","125","19930","20070"
"In post","2021","20-29","Outside London","AA","Unknown","825","800","19900","20600"
"In post","2021","20-29","Outside London","AO","Heterosexual / straight","12345","11990","22580","21430"
"In post","2021","20-29","Outside London","AO","LGBO","1405","1375","22450","21010"
"In post","2021","20-29","Outside London","AO","Undeclared","940","910","22630","21300"
"In post","2021","20-29","Outside London","AO","Unknown","6520","6340","21990","21010"
"In post","2021","20-29","Outside London","EO","Heterosexual / straight","10465","10335","26320","26470"
"In post","2021","20-29","Outside London","EO","LGBO","1100","1090","26500","27540"
"In post","2021","20-29","Outside London","EO","Undeclared","795","790","26720","26850"
"In post","2021","20-29","Outside London","EO","Unknown","3665","3615","26040","25560"
"In post","2021","20-29","Outside London","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","G6","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Outside London","G7","Heterosexual / straight","570","570","50870","51990"
"In post","2021","20-29","Outside London","G7","LGBO","60","60","50650","49860"
"In post","2021","20-29","Outside London","G7","Undeclared","40","40","52120","52580"
"In post","2021","20-29","Outside London","G7","Unknown","175","175","50660","51220"
"In post","2021","20-29","Outside London","HEO","Heterosexual / straight","4805","4765","30950","31180"
"In post","2021","20-29","Outside London","HEO","LGBO","550","545","30750","31100"
"In post","2021","20-29","Outside London","HEO","Undeclared","365","365","31160","31720"
"In post","2021","20-29","Outside London","HEO","Unknown","2070","2060","31060","31810"
"In post","2021","20-29","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","SEO","Heterosexual / straight","1700","1690","38230","37770"
"In post","2021","20-29","Outside London","SEO","LGBO","175","175","38020","38540"
"In post","2021","20-29","Outside London","SEO","Undeclared","140","140","38810","38540"
"In post","2021","20-29","Outside London","SEO","Unknown","515","510","38030","37930"
"In post","2021","20-29","Outside London","Unknown","Heterosexual / straight","1690","1660","25810","23840"
"In post","2021","20-29","Outside London","Unknown","LGBO","140","140","23880","22920"
"In post","2021","20-29","Outside London","Unknown","Undeclared","95","90","25820","23840"
"In post","2021","20-29","Outside London","Unknown","Unknown","295","285","23760","22920"
"In post","2021","20-29","Overseas","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","EO","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Overseas","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Overseas","G7","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","G7","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Overseas","HEO","Heterosexual / straight","115","115","34030","33300"
"In post","2021","20-29","Overseas","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Overseas","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Overseas","HEO","Unknown","45","45","36260","35580"
"In post","2021","20-29","Overseas","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","SEO","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","AO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Heterosexual / straight","60","60","27560","27570"
"In post","2021","20-29","Unknown","EO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G7","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","HEO","Heterosexual / straight","35","35","33000","32000"
"In post","2021","20-29","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","HEO","Unknown","290","290","30270","29250"
"In post","2021","20-29","Unknown","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Unknown","365","365","29010","28980"
"In post","2021","30-39","London","AA","Heterosexual / straight","150","140","22710","22430"
"In post","2021","30-39","London","AA","LGBO","10","10","[c]","[c]"
"In post","2021","30-39","London","AA","Undeclared","20","15","[c]","[c]"
"In post","2021","30-39","London","AA","Unknown","65","60","22170","22770"
"In post","2021","30-39","London","AO","Heterosexual / straight","1170","1090","27140","25630"
"In post","2021","30-39","London","AO","LGBO","60","60","29900","31550"
"In post","2021","30-39","London","AO","Undeclared","110","100","26640","25390"
"In post","2021","30-39","London","AO","Unknown","380","355","27490","25630"
"In post","2021","30-39","London","EO","Heterosexual / straight","2775","2650","29910","29570"
"In post","2021","30-39","London","EO","LGBO","190","185","30500","30750"
"In post","2021","30-39","London","EO","Undeclared","255","245","29830","29570"
"In post","2021","30-39","London","EO","Unknown","640","615","30020","30470"
"In post","2021","30-39","London","G6","Heterosexual / straight","1760","1710","67560","66230"
"In post","2021","30-39","London","G6","LGBO","160","155","66730","66230"
"In post","2021","30-39","London","G6","Undeclared","210","205","67260","66230"
"In post","2021","30-39","London","G6","Unknown","540","525","67650","66230"
"In post","2021","30-39","London","G7","Heterosexual / straight","4480","4340","55760","54700"
"In post","2021","30-39","London","G7","LGBO","465","460","55890","54700"
"In post","2021","30-39","London","G7","Undeclared","535","525","55890","54700"
"In post","2021","30-39","London","G7","Unknown","1300","1275","55700","54700"
"In post","2021","30-39","London","HEO","Heterosexual / straight","2665","2605","35520","35070"
"In post","2021","30-39","London","HEO","LGBO","220","220","34890","34550"
"In post","2021","30-39","London","HEO","Undeclared","295","290","35280","35030"
"In post","2021","30-39","London","HEO","Unknown","825","810","34780","34640"
"In post","2021","30-39","London","SCS level","Heterosexual / straight","585","565","79450","75330"
"In post","2021","30-39","London","SCS level","LGBO","70","65","79980","74250"
"In post","2021","30-39","London","SCS level","Undeclared","50","50","77670","75290"
"In post","2021","30-39","London","SCS level","Unknown","235","230","78750","73400"
"In post","2021","30-39","London","SEO","Heterosexual / straight","2475","2420","42380","41950"
"In post","2021","30-39","London","SEO","LGBO","215","215","41500","40650"
"In post","2021","30-39","London","SEO","Undeclared","285","280","42580","41970"
"In post","2021","30-39","London","SEO","Unknown","740","730","41820","41500"
"In post","2021","30-39","London","Unknown","Heterosexual / straight","315","305","32580","34100"
"In post","2021","30-39","London","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","30-39","London","Unknown","Undeclared","30","25","[c]","[c]"
"In post","2021","30-39","London","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","30-39","Outside London","AA","Heterosexual / straight","1390","1270","19830","19560"
"In post","2021","30-39","Outside London","AA","LGBO","125","125","20100","20600"
"In post","2021","30-39","Outside London","AA","Undeclared","205","175","19520","19560"
"In post","2021","30-39","Outside London","AA","Unknown","570","510","20080","20310"
"In post","2021","30-39","Outside London","AO","Heterosexual / straight","13605","12360","22800","21410"
"In post","2021","30-39","Outside London","AO","LGBO","1000","965","23320","21430"
"In post","2021","30-39","Outside London","AO","Undeclared","1480","1350","22970","21430"
"In post","2021","30-39","Outside London","AO","Unknown","5455","4880","22410","21010"
"In post","2021","30-39","Outside London","EO","Heterosexual / straight","14440","13600","26960","27370"
"In post","2021","30-39","Outside London","EO","LGBO","1140","1120","27180","27570"
"In post","2021","30-39","Outside London","EO","Undeclared","1425","1350","27340","27570"
"In post","2021","30-39","Outside London","EO","Unknown","4625","4360","27160","27570"
"In post","2021","30-39","Outside London","G6","Heterosexual / straight","685","670","64750","64580"
"In post","2021","30-39","Outside London","G6","LGBO","55","55","64090","64060"
"In post","2021","30-39","Outside London","G6","Undeclared","60","60","65930","64670"
"In post","2021","30-39","Outside London","G6","Unknown","190","185","66630","64670"
"In post","2021","30-39","Outside London","G7","Heterosexual / straight","3810","3685","52410","52480"
"In post","2021","30-39","Outside London","G7","LGBO","260","255","52450","52440"
"In post","2021","30-39","Outside London","G7","Undeclared","380","375","52310","52200"
"In post","2021","30-39","Outside London","G7","Unknown","1110","1070","51910","51120"
"In post","2021","30-39","Outside London","HEO","Heterosexual / straight","9140","8795","32200","31810"
"In post","2021","30-39","Outside London","HEO","LGBO","630","620","32240","31810"
"In post","2021","30-39","Outside London","HEO","Undeclared","910","875","32500","31930"
"In post","2021","30-39","Outside London","HEO","Unknown","2550","2470","32270","31810"
"In post","2021","30-39","Outside London","SCS level","Heterosexual / straight","110","105","81300","76950"
"In post","2021","30-39","Outside London","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","30-39","Outside London","SCS level","Undeclared","10","5","[c]","[c]"
"In post","2021","30-39","Outside London","SCS level","Unknown","60","60","73660","71140"
