"Status","Year","Organisation","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","Female","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Female","Unknown","15","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Male","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Female","Unknown","10","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
