"Status","Year","Age","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","AA","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","AO","25","25","21150","21010"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","10","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","10","10","20840","21010"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","AO","10","10","[c]","[c]"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","East Anglia","AO","20","20","22660","21430"
"In post","2021","16-19","East of England","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex","AO","15","15","22070","21430"
"In post","2021","16-19","London","Inner London - East","AA","5","5","[c]","[c]"
"In post","2021","16-19","London","Inner London - East","AO","10","10","[c]","[c]"
"In post","2021","16-19","London","Inner London - East","EO","10","5","[c]","[c]"
"In post","2021","16-19","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Inner London - West","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Inner London - West","AO","30","30","23750","23510"
"In post","2021","16-19","London","Inner London - West","EO","65","65","25870","25170"
"In post","2021","16-19","London","Inner London - West","HEO","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - West and North West","AA","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - West and North West","AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Northumberland and Tyne and Wear","AO","70","70","20480","20140"
"In post","2021","16-19","North East (England)","Northumberland and Tyne and Wear","EO","10","10","[c]","[c]"
"In post","2021","16-19","North East (England)","Tees Valley and Durham","AO","10","10","20870","21010"
"In post","2021","16-19","North East (England)","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Cheshire","AO","5","5","[c]","[c]"
"In post","2021","16-19","North West (England)","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Greater Manchester","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Greater Manchester","AO","25","25","20520","20880"
"In post","2021","16-19","North West (England)","Greater Manchester","EO","15","15","24850","25000"
"In post","2021","16-19","North West (England)","Lancashire","AA","5","5","[c]","[c]"
"In post","2021","16-19","North West (England)","Lancashire","AO","35","30","20900","21010"
"In post","2021","16-19","North West (England)","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Merseyside","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Merseyside","AO","45","40","20660","20140"
"In post","2021","16-19","North West (England)","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Eastern Scotland","AA","40","40","20660","21150"
"In post","2021","16-19","Scotland","Eastern Scotland","AO","50","50","21080","20810"
"In post","2021","16-19","Scotland","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Highlands and Islands","AA","5","5","[c]","[c]"
"In post","2021","16-19","Scotland","North Eastern Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","North Eastern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Southern Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Southern Scotland","AO","10","5","[c]","[c]"
"In post","2021","16-19","Scotland","Southern Scotland","EO","10","10","17080","16780"
"In post","2021","16-19","Scotland","West Central Scotland","AA","20","20","20340","20060"
"In post","2021","16-19","Scotland","West Central Scotland","AO","30","25","20600","20140"
"In post","2021","16-19","Scotland","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AO","15","15","23930","23540"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","15","15","20740","21370"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","AA","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","AO","15","15","20860","20920"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","EO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Kent","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Kent","AO","40","40","22190","21430"
"In post","2021","16-19","South East (England)","Surrey, East and West Sussex","AO","10","10","23560","23520"
"In post","2021","16-19","South East (England)","Surrey, East and West Sussex","EO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon","AA","10","10","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","South West (England)","Dorset and Somerset","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Dorset and Somerset","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA","15","15","17180","16990"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AO","30","30","20120","19870"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","100","100","18650","17780"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Wales","East Wales","AA","15","15","16260","16780"
"In post","2021","16-19","Wales","East Wales","AO","45","40","20370","20140"
"In post","2021","16-19","Wales","East Wales","EO","10","10","24280","23320"
"In post","2021","16-19","Wales","West Wales and The Valleys","AA","25","20","18160","18060"
"In post","2021","16-19","Wales","West Wales and The Valleys","AO","30","30","21350","21510"
"In post","2021","16-19","Wales","West Wales and The Valleys","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Shropshire and Staffordshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Shropshire and Staffordshire","AO","10","10","22350","22850"
"In post","2021","16-19","West Midlands (England)","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","West Midlands","AO","25","25","20320","20140"
"In post","2021","16-19","West Midlands (England)","West Midlands","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","North Yorkshire","AO","5","5","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","AO","20","20","20970","21010"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","West Yorkshire","AA","5","5","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","West Yorkshire","AO","50","50","20430","20140"
"In post","2021","16-19","Yorkshire and The Humber","West Yorkshire","EO","10","10","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","AA","45","45","19890","20600"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","AO","765","740","22230","21160"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","EO","575","570","25880","25560"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","G7","45","45","51970","52580"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","290","290","30960","31810"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","50","50","38580","38630"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","90","90","24960","22920"
"In post","2021","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","75","75","19160","18760"
